Sexe;Sexe;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie
Masculin;Masculin;219;2835;276,6;78139;7623,3;< 5;n.p.;2254
Féminin;Féminin;198;2854;274,3;83952;8067,3;< 5;n.p.;2613
Inconnu;Inconnu;-1;;0;;0;;0;
Total à Montréal;Total à Montréal;416;5693;275,6;162222;7853,3;< 5;n.p.;4868
