Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq,nbrOmicronPresomptif,nbrOmicronSanger,nbrOmicronSeq,Omicron_Total
Région,RSS01,01 - Bas-Saint-Laurent,Total,3412,994,0,0,26,98,124,2294,1825,1118,469,206,1675,221,1587,0,0,0,0
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,3866,997,0,0,68,177,245,2624,1866,1242,758,212,1984,216,2000,0,0,0,0
Région,RSS03,03 - Capitale-Nationale,Total,18208,6280,5,11,506,714,1220,10692,7822,7516,2870,1151,9966,1073,10386,0,0,0,0
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,9775,1652,1,2,257,822,1079,7041,6497,2734,544,419,4285,374,3278,0,0,0,0
Région,RSS05,05 - Estrie,Total,13429,2033,0,11,473,811,1284,10101,9131,3328,970,622,3981,520,4298,0,0,0,0
Région,RSS06,06 - Montréal,Total,87565,13820,126,285,4104,6571,10675,62659,50547,24906,12112,6890,30221,7047,37018,9,6,0,15
Région,RSS07,07 - Outaouais,Total,9077,3839,17,33,170,1053,1223,3965,3681,5112,284,238,4821,775,5396,0,2,0,2
Région,RSS08,08 - Abitibi-Témiscamingue,Total,1228,103,187,0,28,40,68,870,766,358,104,29,256,243,462,0,0,0,0
Région,RSS09,09 - Côte-Nord,Total,540,163,0,0,11,54,65,312,271,228,41,22,279,33,269,0,0,0,0
Région,RSS10,10 - Nord-du-Québec,Total,77,22,1,0,5,11,16,38,19,39,19,13,50,5,58,0,0,0,0
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,779,185,0,0,33,56,89,505,456,274,49,38,346,37,323,0,0,0,0
Région,RSS12,12 - Chaudière-Appalaches,Total,17427,3452,1,10,496,1547,2043,11921,11242,5506,679,874,8257,1107,6185,0,0,0,0
Région,RSS13,13 - Laval,Total,21993,3280,13,23,591,2926,3517,15160,13798,6833,1362,809,7239,950,8195,0,0,0,0
Région,RSS14,14 - Lanaudière,Total,14320,1820,38,11,364,1874,2238,10213,8400,4107,1813,734,5263,768,5920,0,0,0,0
Région,RSS15,15 - Laurentides,Total,17173,2558,33,59,428,2626,3054,11469,8704,5704,2765,1114,7483,1078,8469,0,0,0,0
Région,RSS16,16 - Montérégie,Total,33381,4291,26,155,1813,2552,4365,24544,21234,8837,3310,2485,10682,1867,12147,4,1,0,5
Région,RSS00,Inconnu,Total,1442,51,1,0,47,63,110,1280,1135,162,145,31,262,89,307,0,2,0,2
Région,RSS98,Hors-Québec,Total,1022,125,11,10,195,112,307,569,470,453,99,208,321,264,552,0,4,0,4
Région,RSS99,Ensemble du Québec,Total,254714,45665,460,610,9615,22107,31722,176257,147864,78457,28393,16095,97371,16667,106850,13,15,0,28

