Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,nbrDeltaHospit,NbrPresomptifDelta,nbrDeltaPresomptif,nbrCriblageDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq,nbrOmicronPresomptifP681R,nbrOmicronPresomptif,nbrCriblageBA1,nbrCriblageBA2,nbrCriblageBA1LSPQ,nbrCriblageBA2LSPQ,nbrOmicronTotalCrib,nbrBA2SANGER,nbrOmicronSanger,nbrSeqBA2,nbrOmicronSeq,nbrOmicronTotalSeq,Omicron_Total
Région,RSS01,01 - Bas-Saint-Laurent,Total,19431,994,0,0,81,3,97,1,0,182,17908,17433,1523,475,207,1674,615,1998,0,18,3,0,0,0,21,0,0,49,326,326,347
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,22418,997,0,0,111,10,177,0,0,298,20750,19985,1668,765,212,1984,636,2433,0,27,9,0,0,0,36,0,0,59,337,337,373
Région,RSS03,03 - Capitale-Nationale,Total,70178,6282,5,11,628,0,711,52,0,1391,59955,57077,10223,2878,1158,9965,2033,13101,14,313,1279,180,16,73,1875,0,0,130,659,659,2534
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,48735,1652,1,2,333,96,822,1,0,1252,44841,44281,3894,560,419,4285,1166,4454,7,417,4,0,0,0,428,0,0,193,559,559,987
Région,RSS05,05 - Estrie,Total,41664,2033,0,11,703,14,810,1,0,1528,37474,36485,4190,989,623,3981,1557,5179,4,32,3,1,1,1,42,0,0,122,576,576,618
Région,RSS06,06 - Montréal,Total,231090,13819,126,285,4442,54,6569,516,3,11584,198132,183441,32958,14691,7182,30470,10658,47649,2209,885,1256,702,142,280,5474,0,0,556,1670,1670,7144
Région,RSS07,07 - Outaouais,Total,33442,3838,17,33,221,2,1053,0,0,1276,27900,26919,5542,981,238,4821,1250,6523,7,36,3,1,0,0,47,0,0,126,331,331,378
Région,RSS08,08 - Abitibi-Témiscamingue,Total,9678,103,187,0,38,1,40,2,0,81,9054,8753,624,301,45,258,501,925,0,5,1,1,0,1,8,0,0,35,245,245,253
Région,RSS09,09 - Côte-Nord,Total,8142,163,0,0,14,0,54,0,0,68,7782,7741,360,41,22,279,150,401,0,6,8,2,0,0,16,0,0,15,113,113,129
Région,RSS10,10 - Nord-du-Québec,Total,1189,22,1,0,5,0,11,1,0,17,1116,1096,73,20,13,50,36,93,1,0,3,0,0,0,4,0,0,2,29,29,33
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,7224,185,0,0,34,0,56,1,0,91,6758,6709,466,49,38,346,231,515,0,3,3,0,0,0,6,0,0,24,184,184,190
Région,RSS12,12 - Chaudière-Appalaches,Total,54229,3450,1,10,611,13,1541,6,0,2171,48035,46788,6194,1247,881,8248,1707,7441,1,88,96,9,1,4,199,0,0,76,363,363,562
Région,RSS13,13 - Laval,Total,54013,3270,13,23,638,3,2926,34,0,3601,46073,43053,7940,3020,813,7240,1659,10960,129,40,293,122,46,42,672,0,0,110,361,361,1033
Région,RSS14,14 - Lanaudière,Total,54710,1819,38,11,530,13,1868,104,0,2515,49073,46609,5637,2464,746,5288,1264,8101,114,112,407,64,54,11,762,0,0,131,492,492,1254
Région,RSS15,15 - Laurentides,Total,67957,2559,33,59,552,7,2626,199,0,3384,59618,56280,8339,3338,1161,7583,1582,11677,490,225,627,101,40,24,1507,0,0,217,797,797,2304
Région,RSS16,16 - Montérégie,Total,118525,4292,26,155,1991,46,2552,80,0,4669,106960,102588,11565,4372,2496,10706,4242,15937,385,524,67,24,37,23,1060,0,0,447,1363,1363,2423
Région,RSS00,Inconnu,Total,5931,52,1,0,259,1,64,2,0,326,5404,5197,527,207,42,271,417,734,9,15,9,1,12,7,53,0,0,12,95,95,148
Région,RSS98,Hors-Québec,Total,6055,125,11,10,207,2,112,0,0,321,5307,5185,748,122,213,321,552,870,16,16,4,0,0,0,36,0,0,111,245,245,281
Région,RSS99,Ensemble du Québec,Total,854611,45655,460,610,11398,265,22089,1000,3,34755,752140,715620,102471,36520,16509,97770,30256,138991,3386,2762,4075,1208,349,466,12246,0,0,2415,8745,8745,20991

