No,RSS,NoRLS,RLS,Cas,Cas actifs,Population,Cas pour 100 000,Cas actifs pour 100 000
01,01 - Bas-Saint-Laurent,0111,0111 - RLS de Kamouraska,737,n.d.,20742,3553.18,n.d.
01,01 - Bas-Saint-Laurent,0112,0112 - RLS de Rivière-du-Loup,1364,n.d.,34840,3915.04,n.d.
01,01 - Bas-Saint-Laurent,0113,0113 - RLS de Témiscouata,423,n.d.,19055.5,2219.83,n.d.
01,01 - Bas-Saint-Laurent,0114,0114 - RLS des Basques,222,0,8507,2609.62,0.00
01,01 - Bas-Saint-Laurent,0115,0115 - RLS de Rimouski,882,7,57728,1527.85,12.11
01,01 - Bas-Saint-Laurent,0116,0116 - RLS de La Mitis,205,5,17948.5,1142.16,27.90
01,01 - Bas-Saint-Laurent,0117,0117 - RLS de Matane,276,5,20658.5,1336.01,24.28
01,01 - Bas-Saint-Laurent,0118,0118 - RLS de La Matapédia,352,66,17455,2016.61,379.40
01,01 - Bas-Saint-Laurent,,Total (incluant inconnus),4462,89,196934.5,2265.73,45.22
02,02 - Saguenay-Lac-Saint-Jean,0211,0211 - RLS du Domaine-du-Roy,811,n.d.,31025,2614.02,n.d.
02,02 - Saguenay-Lac-Saint-Jean,0212,0212 - RLS de Maria-Chapdelaine,1134,9,25019.5,4532.46,36.04
02,02 - Saguenay-Lac-Saint-Jean,0213,0213 - RLS de Lac-Saint-Jean-Est,2860,0,52281,5470.44,0.00
02,02 - Saguenay-Lac-Saint-Jean,0214,0214 - RLS de Jonquière,2537,0,67384,3764.99,0.00
02,02 - Saguenay-Lac-Saint-Jean,0215,0215 - RLS de Chicoutimi,3259,n.d.,79237.5,4112.95,n.d.
02,02 - Saguenay-Lac-Saint-Jean,0216,0216 - RLS de La Baie,827,n.d.,22558,3666.11,n.d.
02,02 - Saguenay-Lac-Saint-Jean,,Total (incluant inconnus),11437,15,277505,4121.37,5.41
03,03 - Capitale-Nationale,0311,0311 - RLS de Portneuf,2182,10,55121,3958.56,18.07
03,03 - Capitale-Nationale,0312,0312 - RLS de Québec-Sud,15515,120,321832.5,4820.83,37.19
03,03 - Capitale-Nationale,0313,0313 - RLS de Québec-Nord,16519,184,352784,4682.47,51.96
03,03 - Capitale-Nationale,0314,0314 - RLS de Charlevoix,705,n.d.,28065.5,2511.98,n.d.
