group,1d,2d,pop 2021
0-11,509,107,1079338
12-17,490442,437727,529446
18-29,1020503,917403,1216440
30-39,946516,871474,1118629
40-49,980556,929242,1115327
50-59,1047465,1002678,1155183
60-69,1095372,1073675,1168854
70-79,744529,737468,783129
80 plus,396237,386913,425520
Total 12+,6721620,6356580,7512528
Total,6722129,6356687,8591866
