group,1d,2d,3d,pop 2021
0-4,252,53,8,428991
5-11,427959,309154,233,650347
12-17,529244,501920,63609,529446
18-29,1109247,1048197,403381,1216440
30-39,1017291,975905,474378,1118629
40-49,1024992,999190,612201,1115327
50-59,1078706,1052321,765842,1155183
60-69,1114373,1102912,965752,1168854
70-79,753231,752189,702824,783129
80 plus,400292,400344,377183,425520
Total 5+,7455335,7142132,4365403,8162875
Total,7455587,7142185,4365411,8591866
