Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq,nbrOmicronPresomptif
Région,RSS01,01 - Bas-Saint-Laurent,Total,3308,994,0,0,19,98,117,2197,1728,1111,469,206,1675,214,1580,0
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,3642,997,0,0,66,177,243,2402,1644,1240,758,212,1984,214,1998,0
Région,RSS03,03 - Capitale-Nationale,Total,17448,6280,5,11,492,714,1206,9946,7076,7502,2870,1151,9966,1059,10372,0
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,8893,1652,1,2,231,822,1053,6185,5642,2708,543,419,4285,347,3251,0
Région,RSS05,05 - Estrie,Total,12346,2033,0,11,437,811,1248,9054,8084,3292,970,622,3981,484,4262,0
Région,RSS06,06 - Montréal,Total,84005,13820,126,285,3999,6571,10570,59204,47093,24801,12111,6890,30221,6941,36912,4
Région,RSS07,07 - Outaouais,Total,8800,3839,17,33,164,1053,1217,3694,3410,5106,284,238,4821,769,5390,2
Région,RSS08,08 - Abitibi-Témiscamingue,Total,1196,103,187,0,26,42,68,838,734,358,104,27,258,241,462,0
Région,RSS09,09 - Côte-Nord,Total,534,163,0,0,11,54,65,306,265,228,41,22,279,33,269,0
Région,RSS10,10 - Nord-du-Québec,Total,68,22,1,0,5,11,16,29,10,39,19,13,50,5,58,0
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,760,185,0,0,33,56,89,486,438,274,48,38,346,36,322,0
Région,RSS12,12 - Chaudière-Appalaches,Total,16343,3452,1,10,452,1547,1999,10881,10203,5462,678,874,8257,1062,6140,0
Région,RSS13,13 - Laval,Total,21110,3280,13,23,588,2926,3514,14280,12918,6830,1362,809,7239,947,8192,0
Région,RSS14,14 - Lanaudière,Total,13523,1820,38,11,332,1876,2208,9446,7633,4077,1813,732,5265,738,5890,0
Région,RSS15,15 - Laurentides,Total,16105,2558,33,59,413,2626,3039,10416,7651,5689,2765,1114,7483,1063,8454,0
Région,RSS16,16 - Montérégie,Total,31392,4291,26,155,1762,2552,4314,22606,19296,8786,3310,2485,10682,1816,12096,1
Région,RSS00,Inconnu,Total,1404,51,1,0,32,63,95,1257,1112,147,145,31,262,74,292,0
Région,RSS98,Hors-Québec,Total,995,125,11,10,195,112,307,542,443,453,99,208,321,264,552,4
Région,RSS99,Ensemble du Québec,Total,241872,45665,460,610,9257,22111,31368,163769,135380,78103,28389,16091,97375,16307,106492,11

