CIUSSS;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
CIUSSS de l'Ouest-de-l'Île-de-Montréal;66;681;182;24046;6427,4;0;;906;242,2
CIUSSS du Centre-Ouest-de-l'Île-de-Montréal ;77;730;193,6;27643;7329,9;0;;769;203,9
CIUSSS du Centre-Sud-de-l'Île-de-Montréal ;43;519;158,5;17808;5436,9;< 5;n.p.;659;201,2
CIUSSS du Nord-de-l'Île-de-Montréal ;50;822;182,7;38957;8659,1;0;;1127;250,5
CIUSSS de l'Est-de-l'Île-de-Montréal ;120;1417;263,9;47875;8915,7;< 5;n.p.;1374;255,9
Territoire à confirmer;5;53;;2632;;< 5;;28;
Total à Montréal;361;4222;204,4;158961;7695,4;7;n.p.;4863;235,4
