Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;24;320;238,4;8821;6570,8;5;n.p.;464;345,6
Anjou;12;171;399,6;3022;7061,4;< 5;n.p.;73;170,6
Baie D'urfé;0;0;;67;1752,6;0;;< 5;n.p.
Beaconsfield;< 5;14;* 72,4;377;1950,9;0;;18;* 93,1
Côte-des-Neiges–Notre-Dame-de-Grâce;41;590;354,3;10063;6043,1;< 5;n.p.;349;209,6
Côte-Saint-Luc;17;152;468,4;2374;7316,3;0;;109;335,9
Dollard-des-Ormeaux;< 5;111;227;2261;4623,8;< 5;n.p.;119;243,4
Dorval;< 5;23;* 121,2;676;3561,6;0;;67;353
Hampstead;< 5;19;* 272,5;335;4804,2;0;;5;n.p.
Kirkland;< 5;36;* 178,7;565;2803,8;< 5;n.p.;32;* 158,8
Lachine;7;69;155,1;2544;5718,3;< 5;n.p.;169;379,9
LaSalle;8;142;184,8;4614;6003,7;0;;234;304,5
L'Île-Bizard–Sainte-Geneviève;0;20;* 108,6;872;4735,8;< 5;n.p.;74;401,9
Mercier–Hochelaga-Maisonneuve;22;246;180,9;7477;5496,8;6;n.p.;440;323,5
Montréal Est;< 5;11;* 285,7;232;6026;< 5;n.p.;9;* 233,8
Montréal-Nord;22;246;292;8085;9598,3;< 5;n.p.;323;383,5
Montréal-Ouest;< 5;< 5;n.p.;129;2554,5;0;;< 5;n.p.
Mont-Royal;5;43;212,1;974;4803,7;0;;92;453,7
Outremont;< 5;41;171,2;1113;4646,4;0;;21;* 87,7
Pierrefonds–Roxboro;10;196;282,8;3420;4935,3;0;;79;114
Plateau Mont-Royal;16;142;136,5;3872;3723,1;0;;168;161,5
Pointe-Claire;< 5;48;153;892;2842,6;< 5;n.p.;52;165,7
Rivière-des-Prairies–Pointe-aux-Trembles;19;270;252,9;7875;7377,5;< 5;n.p.;307;287,6
Rosemont–La Petite Patrie;9;176;126,1;6099;4369,2;0;;315;225,7
Sainte-Anne-de-Bellevue;0;< 5;n.p.;118;2380;0;;12;* 242
Saint-Laurent;30;358;362,2;6585;6663,1;< 5;n.p.;146;147,7
Saint-Léonard;17;224;286,1;6692;8546,1;< 5;n.p.;127;162,2
Senneville;0;0;;22;* 2388,7;0;;0;
Sud-Ouest;< 5;94;120,3;3259;4170,1;0;;203;259,8
Verdun;12;124;179,1;2705;3907,3;0;;192;277,3
Ville-Marie;8;114;127,8;4036;4526,2;0;;115;129
Villeray–Saint-Michel–Parc-Extension;16;304;211,3;9308;6470,5;5;n.p.;182;126,5
Westmount;0;11;* 54,2;625;3077;0;;57;280,6
Territoire à confirmer;< 5;37;;1720;;0;;25;
Total à Montréal;318;4359;211;111829;5413,7;39;1,9;4584;221,9
