Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq,nbrDeltaPresomptif,nbrOmicronPresomptifP681R,nbrOmicronPresomptif,nbrOmicronTotalCrib,nbrOmicronSanger,nbrOmicronSeq,nbrOmicronTotalSeq,Omicron_Total
Région,RSS01,01 - Bas-Saint-Laurent,Total,8958,994,0,0,26,98,125,7840,7371,1118,469,206,1675,221,1587,1,0,4,4,0,0,0,4
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,10850,997,0,0,68,177,245,9608,8849,1242,759,212,1984,217,2001,0,1,3,4,0,0,0,4
Région,RSS03,03 - Capitale-Nationale,Total,37617,6280,5,11,512,714,1278,30095,27224,7522,2871,1151,9966,1080,10393,52,286,32,318,0,0,0,318
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,27295,1652,1,2,258,822,1081,24560,24015,2735,545,419,4286,375,3280,1,13,191,204,0,0,0,204
Région,RSS05,05 - Estrie,Total,24666,2033,0,11,481,811,1293,21330,20360,3336,970,622,3981,528,4306,1,4,22,26,0,0,0,26
Région,RSS06,06 - Montréal,Total,166170,13821,126,285,4135,6571,11221,141232,129101,24938,12131,6890,30222,7098,37069,515,2128,671,2799,26,0,26,2825
Région,RSS07,07 - Outaouais,Total,23668,3839,17,33,182,1053,1235,18544,18255,5124,289,238,4822,792,5413,0,7,24,31,2,0,2,33
Région,RSS08,08 - Abitibi-Témiscamingue,Total,3776,103,187,0,29,40,71,3417,3313,359,104,29,256,244,463,2,2,2,4,0,0,0,4
Région,RSS09,09 - Côte-Nord,Total,2302,163,0,0,11,54,65,2074,2033,228,41,22,279,33,269,0,0,6,6,0,0,0,6
Région,RSS10,10 - Nord-du-Québec,Total,402,22,1,0,5,11,17,363,344,39,19,13,50,5,58,1,1,0,1,0,0,0,1
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,2410,185,0,0,33,56,90,2136,2087,274,49,38,346,37,323,1,1,2,3,0,0,0,3
Région,RSS12,12 - Chaudière-Appalaches,Total,33535,3452,1,10,507,1547,2060,28018,27336,5517,682,874,8257,1121,6199,6,42,26,68,0,0,0,68
Région,RSS13,13 - Laval,Total,39836,3280,13,23,606,2926,3566,32988,31626,6848,1362,809,7239,965,8210,34,126,36,162,1,0,1,163
Région,RSS14,14 - Lanaudière,Total,37094,1819,38,11,368,1874,2347,32984,31168,4110,1816,734,5263,774,5926,105,112,64,176,1,0,1,177
Région,RSS15,15 - Laurentides,Total,45185,2558,33,59,439,2626,3264,39470,36704,5715,2766,1114,7484,1089,8481,199,457,140,597,1,0,1,598
Région,RSS16,16 - Montérégie,Total,77499,4291,26,155,1835,2552,4467,68640,65326,8859,3314,2485,10682,1893,12173,80,375,329,704,11,0,11,715
Région,RSS00,Inconnu,Total,2558,51,1,0,138,63,203,2305,2161,253,144,31,260,180,397,2,5,14,19,1,0,1,20
Région,RSS98,Hors-Québec,Total,2442,125,11,10,201,112,313,1983,1884,459,99,208,321,270,558,0,17,10,27,4,0,4,31
Région,RSS99,Ensemble du Québec,Total,546263,45665,460,610,9834,22107,32941,467587,439157,78676,28430,16095,97373,16922,107106,1000,3577,1576,5153,47,0,47,5200

