group,0d,1d,2d,pop 2021
0-4,87812,78,17,109960
5-11,144407,37,16,149671
12-17,29748,96706,87608,115666
18-29,11301,310268,280785,367326
30-39,32310,269496,249150,330128
40-49,20478,240410,225961,281268
50-59,11511,225104,214941,254246
60-69,1129,205402,198718,219244
70-79,112,143190,138997,148691
80 plus,1258,98971,93658,102264
Total 12+,107847,1589547,1489818,1818833
Total,340066,1589662,1489851,2078464
