group,1d,2d,pop 2021
0-11,537,130,1079338
12-17,500057,456856,529446
18-29,1047324,963760,1216440
30-39,967308,906310,1118629
40-49,993916,953252,1115327
50-59,1056759,1019086,1155183
60-69,1100176,1082417,1168854
70-79,746526,741958,783129
80 plus,397207,391823,425520
Total 12+,6809273,6515462,7512528
Total,6809810,6515592,8591866
