,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4023,3,4000,23,53,0,3956,14,196934.5,2042.81,7.11,26.91,0
02,02 - Saguenay-Lac-Saint-Jean,11095,4,10872,223,271,0,10812,12,277505,3998.13,4.33,97.66,2
03,03 - Capitale-Nationale,33281,19,32927,354,1119,0,32023,139,757803,4391.77,18.29,147.66,16
04,04 - Mauricie et Centre-du-Québec,15961,36,15721,240,561,0,15191,209,523331.5,3049.88,39.86,107.20,15
05,05 - Estrie,15375,24,14856,519,355,0,14826,194,494966.5,3106.27,39.05,71.72,17
06,06 - Montréal,136960,227,134029,2931,4775,0,130564,1621,2072060.5,6609.85,77.99,230.45,108
07,07 - Outaouais,12829,25,12382,447,215,0,12496,118,402744,3185.40,29.17,53.38,15
08,08 - Abitibi-Témiscamingue,1198,1,1165,33,9,0,1182,7,147637,811.45,4.74,6.10,1
09,09 - Côte-Nord,594,1,575,19,4,0,586,4,89700.5,662.20,4.48,4.46,0
10,10 - Nord-du-Québec,120,2,118,2,0,0,113,7,13521.5,887.48,51.91,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2083,0,2063,20,47,0,2035,1,89823,2319.01,1.12,52.33,0
12,12 - Chaudière-Appalaches,19429,9,19147,282,367,0,19011,51,431109.5,4506.74,11.81,85.13,8
13,13 - Laval,33256,81,31391,1865,920,1,31839,497,444658.5,7479.00,111.29,206.90,40
14,14 - Lanaudière,24784,39,24071,713,517,0,23968,299,522367,4744.56,56.99,98.97,24
15,15 - Laurentides,21756,46,21152,604,510,0,20970,276,630238,3452.03,43.57,80.92,21
16,16 - Montérégie,53042,76,51074,1968,1559,0,50808,675,1438226,3688.02,46.75,108.40,35
17,17 - Nunavik,50,0,48,2,0,0,49,1,14336.5,348.76,6.94,0.00,0
18,18 - Terres-Cries-de-la-Baie-James,128,1,128,0,3,0,116,9,18507,691.63,48.31,16.21,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,650,9,645,5,0,0,615,35,.,.,.,.,4
999,Ensemble du Québec,386618,603,376367,10251,11285,1,371164,4169,8565469.5,4513.68,48.52,131.75,306

