group,1d,2d,pop 2021
0-11,500,103,1079338
12-17,488847,433870,529446
18-29,1016878,909659,1216440
30-39,943797,866146,1118629
40-49,978725,925608,1115327
50-59,1046218,1000247,1155183
60-69,1094826,1072515,1168854
70-79,744306,737032,783129
80 plus,396123,386694,425520
Total 12+,6709720,6331771,7512528
Total,6710220,6331874,8591866
