group,1d,2d,3d,pop 2021
0-4,31529,13932,39,428991
5-11,441358,338620,32877,650347
12-17,532862,510452,122739,529446
18-29,1118513,1059408,454602,1216440
30-39,1026418,985987,521900,1118629
40-49,1030838,1006290,658529,1115327
50-59,1082904,1057314,807077,1155183
60-69,1118959,1106814,1003993,1168854
70-79,755930,754412,726651,783129
80 plus,401325,401774,392052,425520
Total 5+,7509107,7221071,4720420,8162875
Total,7540636,7235003,4720459,8591866
