Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;23;363;270,4;9675;7207;< 5;n.p.;475;353,8
Anjou;< 5;121;282,7;3300;7711;0;;74;172,9
Baie D'urfé;< 5;5;n.p.;81;2118,8;0;;< 5;n.p.
Beaconsfield;5;21;* 108,7;425;2199,3;0;;19;* 98,3
Côte-des-Neiges–Notre-Dame-de-Grâce;41;479;287,7;11111;6672,5;< 5;n.p.;353;212
Côte-Saint-Luc;< 5;87;268,1;2617;8065,2;0;;112;345,2
Dollard-des-Ormeaux;< 5;129;263,8;2533;5180,1;0;;120;245,4
Dorval;< 5;42;221,3;760;4004,2;0;;67;353
Hampstead;-2;8;n.p.;364;5220,1;0;;5;n.p.
Kirkland;0;35;* 173,7;657;3260,4;0;;33;* 163,8
Lachine;6;125;281;2804;6302,7;0;;170;382,1
LaSalle;22;238;309,7;5082;6612,6;< 5;n.p.;238;309,7
L'Île-Bizard–Sainte-Geneviève;< 5;70;380,2;995;5403,8;0;;74;401,9
Mercier–Hochelaga-Maisonneuve;28;363;266,9;8226;6047,5;0;;441;324,2
Montréal Est;0;13;* 337,7;258;6701,3;0;;9;* 233,8
Montréal-Nord;< 5;153;181,6;8484;10071,9;< 5;n.p.;328;389,4
Montréal-Ouest;0;7;n.p.;163;3227,7;0;;< 5;n.p.
Mont-Royal;< 5;41;202,2;1075;5301,8;< 5;n.p.;93;458,7
Outremont;-1;32;* 133,6;1198;5001,3;0;;22;* 91,8
Pierrefonds–Roxboro;25;218;314,6;3837;5537;< 5;n.p.;80;115,4
Plateau Mont-Royal;5;177;170,2;4212;4050;0;;170;163,5
Pointe-Claire;0;37;117,9;980;3123;< 5;n.p.;53;168,9
Rivière-des-Prairies–Pointe-aux-Trembles;9;310;290,4;8484;7948,1;< 5;n.p.;312;292,3
Rosemont–La Petite Patrie;9;261;187;6636;4753,9;0;;321;230
Sainte-Anne-de-Bellevue;0;8;n.p.;131;2642,2;0;;12;* 242
Saint-Laurent;26;402;406,8;7454;7542,4;0;;151;152,8
Saint-Léonard;12;271;346,1;7297;9318,7;< 5;n.p.;133;169,8
Senneville;0;0;;22;* 2388,7;0;;0;
Sud-Ouest;12;152;194,5;3544;4534,8;0;;204;261
Verdun;5;101;145,9;2981;4306;0;;192;277,3
Ville-Marie;11;165;185;4378;4909,7;0;;116;130,1
Villeray–Saint-Michel–Parc-Extension;25;369;256,5;10155;7059,3;< 5;n.p.;188;130,7
Westmount;< 5;20;* 98,5;684;3367,5;0;;58;285,5
Territoire à confirmer;-1;68;;1829;;0;;26;
Total à Montréal;287;4891;236,8;122432;5927;18;*0,9;4655;225,4
