group,1d,2d,pop 2021
0-11,473.0,65.0,1079338
12-17,407002.0,20672.0,529446
18-29,829160.0,225824.0,1216440
30-39,816243.0,287626.0,1118629
40-49,889140.0,417104.0,1115327
50-59,984858.0,608037.0,1155183
60-69,1064131.0,832482.0,1168854
70-79,731983.0,635359.0,783129
80 plus,391374.0,350657.0,425520
Total 12+,6113891.0,3377761.0,7512528
Total,6114364.0,3377826.0,8591866
