,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1437,3,1422,15,27,0,1362,48,196795,730.20,24.39,13.72
02,02 - Saguenay–Lac-Saint-Jean,8611,21,8426,185,248,2,8052,311,277378,3104.43,112.12,89.41
03,03 - Capitale-Nationale,20576,127,20260,316,830,7,18265,1481,760147,2706.84,194.83,109.19
04,04 - Mauricie et Centre-du-Québec,11611,58,11388,223,405,0,10317,889,524322,2214.48,169.55,77.24
05,05 - Estrie,9974,41,9569,405,234,5,8976,764,496770,2007.77,153.79,47.10
06,06 - Montréal,87618,479,84809,2809,4114,19,75918,7586,2078464,4215.52,364.98,197.93
07,07 - Outaouais,5629,20,5255,374,142,0,5159,328,404456,1391.75,81.10,35.11
08,08 - Abitibi-Témiscamingue,652,5,618,34,5,0,550,97,147658,441.56,65.69,3.39
09,09 - Côte-Nord,336,0,322,14,3,0,316,17,89368,375.97,19.02,3.36
10,10 - Nord-du-Québec,87,-6,85,2,0,0,78,9,13485,645.16,66.74,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1683,0,1664,19,45,0,1621,17,89648,1877.34,18.96,50.20
12,12 - Chaudière-Appalaches,10414,62,10154,260,225,6,9371,818,431910,2411.15,189.39,52.09
13,13 - Laval,20666,125,19233,1433,801,3,18213,1652,446572,4627.70,369.93,179.37
14,14 - Lanaudière,17671,73,16962,709,438,4,16032,1201,524642,3368.20,228.92,83.49
15,15 - Laurentides,13405,97,12804,601,397,2,12145,863,633508,2116.00,136.23,62.67
16,16 - Montérégie,35049,268,33605,1444,1226,7,30938,2885,1443701,2427.72,199.83,84.92
17,17 - Nunavik,35,0,33,2,0,0,31,4,14413,242.84,27.75,0.00
18,18 - Terres-Cries-de-la-Baie-James,71,12,71,0,2,0,38,31,18629,381.13,166.41,10.74
98,Inconnu,5,0,5,0,0,0,5,0,           .,         .  ,         .  ,         .  
99,Hors Québec,204,1,200,4,0,0,188,16,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,245734,1386,236885,8849,9142,55,217575,19017,8591866,2860.08,221.34,106.40
