,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1482,1,1465,17,30,0,1437,15,196934.5,752.53,7.62,15.23
02,02 - Saguenay–Lac-Saint-Jean,8771,1,8583,188,262,0,8483,26,277505,3160.66,9.37,94.41
03,03 - Capitale-Nationale,21747,39,21417,330,954,1,20219,574,757803,2869.74,75.51,125.89
04,04 - Mauricie et Centre-du-Québec,12426,13,12197,229,475,1,11533,418,523331.5,2374.40,79.72,90.76
05,05 - Estrie,10893,28,10474,419,285,0,10255,353,494966.5,2200.76,71.06,57.58
06,06 - Montréal,98388,393,95543,2845,4383,5,88546,5459,2072060.5,4748.32,262.65,211.53
07,07 - Outaouais,5953,11,5562,391,156,0,5684,113,402744,1478.11,27.94,38.73
08,08 - Abitibi-Témiscamingue,728,4,695,33,5,0,700,23,147637,493.10,15.58,3.39
09,09 - Côte-Nord,345,1,331,14,3,0,337,5,89700.5,384.61,5.59,3.34
10,10 - Nord-du-Québec,87,0,85,2,0,0,86,1,13521.5,643.42,7.42,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1692,2,1673,19,45,0,1643,4,89823,1883.70,4.46,50.10
12,12 - Chaudière-Appalaches,11300,15,11038,262,274,2,10664,362,431109.5,2621.14,83.81,63.56
13,13 - Laval,22969,83,21510,1459,848,0,21095,1026,444658.5,5165.54,229.75,190.71
14,14 - Lanaudière,19123,44,18413,710,474,0,18016,633,522367,3660.84,120.65,90.74
15,15 - Laurentides,15132,60,14535,597,452,0,14101,579,630238,2401.00,91.40,71.72
16,16 - Montérégie,39480,156,37868,1612,1398,6,36186,1896,1438226,2745.05,131.33,97.20
17,17 - Nunavik,40,0,38,2,0,0,38,2,14336.5,279.01,13.88,0.00
18,18 - Terres-Cries-de-la-Baie-James,114,0,114,0,2,0,105,7,18507,615.98,37.58,10.81
98,Inconnu,4,0,4,0,0,0,4,0,           .,         .  ,         .  ,         .  
99,Hors Québec,237,2,233,4,0,0,229,8,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,270911,853,261778,9133,10046,15,249361,11504,8565469.5,3162.83,133.89,117.28
