Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;8;481;358,3;19891;14816,9;< 5;n.p.;523;389,6
Anjou;< 5;124;289,7;6827;15952,4;< 5;n.p.;84;196,3
Baie D'urfé;0;8;n.p.;288;7533,4;0;;< 5;n.p.
Beaconsfield;< 5;69;357,1;1498;7752;0;;26;* 134,5
Côte-des-Neiges–Notre-Dame-de-Grâce;17;538;323,1;23688;14225,3;5;n.p.;401;240,8
Côte-Saint-Luc;< 5;167;514,7;5282;16278,4;< 5;n.p.;127;391,4
Dollard-des-Ormeaux;12;184;376,3;6037;12345,9;< 5;n.p.;131;267,9
Dorval;< 5;72;379,3;2051;10806,1;0;;70;368,8
Hampstead;0;37;530,6;1009;14470,1;0;;6;n.p.
Kirkland;< 5;40;198,5;1892;9389,1;< 5;n.p.;40;198,5
Lachine;6;189;424,8;6224;13990;< 5;n.p.;187;420,3
LaSalle;9;229;298;11005;14319,5;< 5;n.p.;258;335,7
L'Île-Bizard–Sainte-Geneviève;< 5;109;592;2335;12681,3;< 5;n.p.;79;429
Mercier–Hochelaga-Maisonneuve;10;379;278,6;19177;14098,2;7;n.p.;497;365,4
Montréal Est;< 5;13;* 337,7;644;16727,3;0;;11;* 285,7
Montréal-Nord;20;260;308,7;15159;17996,3;7;n.p.;378;448,7
Montréal-Ouest;0;26;* 514,9;544;10772,3;0;;< 5;n.p.
Mont-Royal;< 5;101;498,1;2512;12389;0;;95;468,5
Outremont;< 5;97;404,9;2760;11522,1;< 5;n.p.;30;* 125,2
Pierrefonds–Roxboro;< 5;221;318,9;8855;12778,3;< 5;n.p.;100;144,3
Plateau Mont-Royal;13;376;361,5;12306;11832,7;< 5;n.p.;192;184,6
Pointe-Claire;5;118;376;2791;8894,2;< 5;n.p.;64;204
Rivière-des-Prairies–Pointe-aux-Trembles;16;326;305,4;17527;16419,8;< 5;n.p.;350;327,9
Rosemont–La Petite Patrie;21;401;287,3;17432;12488;< 5;n.p.;349;250
Sainte-Anne-de-Bellevue;< 5;14;* 282,4;431;8693;0;;14;* 282,4
Saint-Laurent;7;308;311,7;14585;14758;< 5;n.p.;171;173
Saint-Léonard;12;238;303,9;14247;18194,2;< 5;n.p.;166;212
Senneville;< 5;6;n.p.;84;9120,5;0;;0;
Sud-Ouest;5;214;273,8;9599;12282,6;< 5;n.p.;228;291,7
Verdun;6;203;293,2;7466;10784,5;< 5;n.p.;211;304,8
Ville-Marie;12;274;307,3;11671;13088,5;< 5;n.p.;148;166
Villeray–Saint-Michel–Parc-Extension;18;368;255,8;21632;15037,6;< 5;n.p.;240;166,8
Westmount;< 5;83;408,6;1881;9260,5;< 5;n.p.;64;315,1
Territoire à confirmer;-1;235;;7334;;< 5;;30;
Total à Montréal;225;6508;315,1;276665;13393,6;63;3;5276;255,4
