group,1d,2d,pop 2021
0-11,70108,149,1079338
12-17,509853,468132,529446
18-29,1068413,994679,1216440
30-39,983424,931267,1118629
40-49,1003644,968966,1115327
50-59,1062889,1029884,1155183
60-69,1103368,1088179,1168854
70-79,747974,745377,783129
80 plus,398071,396408,425520
Total 12+,6877636,6622892,7512528
Total,6947744,6623041,8591866
