No,RSS,NoRLS,RLS,Cas vague 1,Taux cas vague 1,Cas vague 2,Taux cas vague 2,Cas vague 3,Taux cas vague 3,Cas vague 4,Taux cas vague 4,Cas vague 5,Taux cas vague 5,Cas vague 6,Taux cas vague 6,Cas vague 7,Taux cas vague 7
01,01 - Bas-Saint-Laurent,0111,0111 - RLS de Kamouraska,n.d.,n.d.,186,890.89,508,2437.27,61,292.66,995,4776.19,502,2410.91,313,1503.22
01,01 - Bas-Saint-Laurent,0112,0112 - RLS de Rivière-du-Loup,23,65.87,278,795.08,1003,2864.49,27,77.11,2159,6149.07,1100,3124.38,575,1633.20
01,01 - Bas-Saint-Laurent,0113,0113 - RLS de Témiscouata,5,25.95,134,696.34,278,1446.64,38,197.74,1041,5425.41,493,2573.34,269,1404.11
01,01 - Bas-Saint-Laurent,0114,0114 - RLS des Basques,n.d.,n.d.,34,396.06,181,2113.50,6,70.06,398,4656.60,250,2930.83,156,1828.84
01,01 - Bas-Saint-Laurent,0115,0115 - RLS de Rimouski,11,19.06,577,1000.03,220,381.37,116,201.09,3203,5541.95,1751,3023.97,1340,2314.18
01,01 - Bas-Saint-Laurent,0116,0116 - RLS de La Mitis,n.d.,n.d.,87,482.42,99,550.34,37,205.68,1085,6043.56,413,2305.07,476,2656.69
01,01 - Bas-Saint-Laurent,0117,0117 - RLS de Matane,0,0.00,233,1122.38,25,120.87,37,178.89,1006,4870.37,460,2229.98,408,1977.89
01,01 - Bas-Saint-Laurent,0118,0118 - RLS de La Matapédia,n.d.,n.d.,45,255.49,35,199.24,313,1781.75,1012,5772.30,453,2589.02,405,2314.68
01,01 - Bas-Saint-Laurent,,Total (incluant inconnus),53,26.77,1588,802.93,2355,1192.01,639,323.44,10939,5535.54,5424,2744.06,3953,1999.87
02,02 - Saguenay-Lac-Saint-Jean,0211,0211 - RLS du Domaine-du-Roy,n.d.,n.d.,500,1609.22,300,968.18,40,129.09,1532,4948.32,720,2327.54,652,2107.71
02,02 - Saguenay-Lac-Saint-Jean,0212,0212 - RLS de Maria-Chapdelaine,5,19.89,713,2842.62,285,1138.72,156,623.30,1057,4231.39,406,1628.43,360,1443.93
02,02 - Saguenay-Lac-Saint-Jean,0213,0213 - RLS de Lac-Saint-Jean-Est,29,55.25,2305,4390.98,463,881.90,44,83.81,2360,4493.44,1124,2139.24,726,1381.75
02,02 - Saguenay-Lac-Saint-Jean,0214,0214 - RLS de Jonquière,52,76.48,1997,2939.92,354,521.64,136,200.40,3327,4902.70,1413,2082.29,948,1397.03
02,02 - Saguenay-Lac-Saint-Jean,0215,0215 - RLS de Chicoutimi,135,169.59,2620,3298.11,344,433.94,139,175.34,3739,4702.79,1724,2162.08,1208,1514.96
02,02 - Saguenay-Lac-Saint-Jean,0216,0216 - RLS de La Baie,13,57.54,672,2975.03,108,478.26,16,70.85,974,4312.21,384,1699.72,296,1310.20
02,02 - Saguenay-Lac-Saint-Jean,,Total (incluant inconnus),247,88.54,8892,3191.65,1871,672.46,545,195.88,13251,4759.45,5820,2089.05,4226,1516.89
03,03 - Capitale-Nationale,0311,0311 - RLS de Portneuf,58,105.27,1376,2489.28,676,1218.94,121,218.18,2714,4874.76,674,1205.92,621,1111.09
03,03 - Capitale-Nationale,0312,0312 - RLS de Québec-Sud,956,297.08,9694,3011.28,3758,1166.90,1348,418.57,16515,5097.81,6034,1851.63,4886,1499.35
03,03 - Capitale-Nationale,0313,0313 - RLS de Québec-Nord,644,183.07,9454,2679.76,5104,1442.61,1676,473.71,18643,5249.94,6216,1744.04,4644,1302.98
03,03 - Capitale-Nationale,0314,0314 - RLS de Charlevoix,13,45.79,522,1839.74,135,476.09,69,243.33,1483,5225.97,669,2355.72,459,1616.25
03,03 - Capitale-Nationale,,Total (incluant inconnus),1674,221.12,21067,2777.95,9693,1275.95,3231,425.32,39595,5188.55,13728,1790.81,10733,1400.12
04,04 - Mauricie et Centre-du-Québec,0411,0411 - RLS du Haut-Saint-Maurice,n.d.,n.d.,387,2565.72,31,205.65,70,464.38,1262,8368.98,487,3228.37,157,1040.77
04,04 - Mauricie et Centre-du-Québec,0412,0412 - RLS de la Vallée de la Batiscan,97,376.71,308,1195.49,98,380.17,94,364.65,1134,4394.33,380,1470.93,258,998.68
04,04 - Mauricie et Centre-du-Québec,0413,0413 - RLS de Maskinongé,224,977.27,350,1527.98,78,340.75,191,834.39,1095,4783.54,249,1087.76,287,1253.77
04,04 - Mauricie et Centre-du-Québec,0414,0414 - RLS du Centre-de-la-Mauricie,317,485.89,1043,1594.98,172,262.42,280,427.19,3219,4896.34,1468,2226.20,1030,1561.98
04,04 - Mauricie et Centre-du-Québec,0415,0415 - RLS de Trois-Rivières,844,582.03,2639,1819.08,361,248.73,1079,743.43,8807,6043.41,3071,2098.82,2245,1534.31
04,04 - Mauricie et Centre-du-Québec,0416,0416 - RLS de Bécancour - Nicolet-Yamaska,48,106.89,754,1675.85,161,357.16,389,862.95,2799,6191.66,632,1394.10,391,862.49
04,04 - Mauricie et Centre-du-Québec,0417,0417 - RLS de Drummond,270,249.34,3164,2914.73,673,618.48,558,512.79,4810,4404.00,1735,1582.71,1078,983.38
04,04 - Mauricie et Centre-du-Québec,0418,0418 - RLS d'Arthabaska - de l'Érable,32,32.49,2306,2338.87,651,659.49,1171,1186.28,7334,7409.24,1601,1612.98,1356,1366.15
04,04 - Mauricie et Centre-du-Québec,,Total (incluant inconnus),1839,349.83,11031,2095.72,2233,423.69,3857,731.84,30575,5783.51,9647,1819.21,6821,1286.29
05,05 - Estrie,0511,0511 - RLS de la Pommeraie,100,175.13,844,1468.78,219,378.73,283,489.41,1626,2793.19,740,1262.78,616,1051.18
05,05 - Estrie,0512,0512 - RLS de la Haute-Yamaska,169,158.34,2712,2524.87,420,388.57,855,791.02,3650,3353.69,1335,1218.25,1247,1137.95
05,05 - Estrie,0513,0513 - RLS de Memphrémagog,83,156.54,633,1188.27,210,392.37,664,1240.63,2350,4367.26,811,1499.13,568,1049.95
05,05 - Estrie,0514,0514 - RLS de Coaticook,12,63.63,402,2126.93,189,997.84,168,886.96,793,4174.34,242,1270.14,190,997.22
05,05 - Estrie,0515,0515 - RLS de Sherbrooke,262,153.07,3635,2116.78,974,565.33,1999,1160.27,9094,5235.45,3324,1898.20,3138,1791.99
05,05 - Estrie,0516,0516 - RLS de Val Saint-François,69,217.37,562,1765.85,172,539.03,292,915.10,1322,4128.15,435,1353.50,415,1291.27
05,05 - Estrie,0517,0517 - RLS d'Asbestos,44,305.41,541,3752.25,62,429.69,482,3340.49,678,4691.55,222,1533.78,144,994.89
05,05 - Estrie,0518,0518 - RLS du Haut-Saint-François,29,126.49,356,1547.86,126,546.12,408,1768.38,931,4020.73,402,1729.93,304,1308.20
05,05 - Estrie,0519,0519 - RLS du Granit,11,50.95,809,3743.98,745,3444.77,556,2570.86,1625,7504.56,206,950.18,220,1014.76
05,05 - Estrie,,Total (incluant inconnus),790,158.78,10496,2100.80,3120,621.89,5711,1138.33,22094,4376.44,7725,1520.73,6853,1349.07
06,06 - Montréal,0611,0611 - RLS de Pierrefonds - Lac Saint-Louis,1457,645.11,7253,3223.66,2223,991.83,2066,921.78,11743,5226.78,2688,1193.56,2251,999.52
06,06 - Montréal,0612,0612 - RLS de Dorval - Lachine - Lasalle,2009,1347.99,5631,3798.67,1735,1176.79,1403,951.61,9031,6095.33,1878,1261.33,1719,1154.54
