"Date";"Doses du vaccin COVID-19 reçues (cumulatif)";"Doses du vaccin COVID-19 administrées (cumulatif)"
2022-04-07;23082195;18818996
2022-04-06;23082195;18783797
2022-04-05;23082195;18751517
2022-04-04;23074695;18731660
2022-04-03;23074695;18718185
2022-04-02;23074695;18709504
2022-04-01;23074695;18689183
