Regroupement,Croisement,Nom,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,NbrAutres,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq
Région,RSS01,01 - Bas-Saint-Laurent,2722,994,,,5,18,1705,1017,1641,186,1586,220,1503
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,3261,997,,,8,117,2139,1122,2040,162,1936,204,1894
Région,RSS03,03 - Capitale-Nationale,15268,6274,5,11,157,620,8201,7067,10033,817,9665,1048,10174
Région,RSS04,04 - Mauricie et Centre-du-Québec,6565,1651,1,2,65,651,4195,2370,3984,262,3756,369,2976
Région,RSS05,05 - Estrie,7771,2035,,11,101,700,4924,2847,4008,338,3746,369,3832
Région,RSS06,06 - Montréal,70795,13822,126,284,1655,5692,49216,21579,33930,4309,29650,5523,36503
Région,RSS07,07 - Outaouais,7827,3839,17,33,87,720,3131,4696,5775,166,4463,1123,6053
Région,RSS08,08 - Abitibi-Témiscamingue,877,100,193,,9,19,556,321,444,12,230,235,601
Région,RSS09,09 - Côte-Nord,301,162,,,3,17,119,182,255,14,237,35,229
Région,RSS10,10 - Nord-du-Québec,64,22,2,,1,14,25,39,64,3,59,4,60
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,550,185,,,9,46,310,240,370,17,334,36,310
Région,RSS12,12 - Chaudière-Appalaches,11965,3452,1,10,25,897,7580,4385,8328,482,7508,766,5605
Région,RSS13,13 - Laval,17835,3278,13,23,360,2213,11948,5887,8906,544,6543,872,8963
Région,RSS14,14 - Lanaudière,10731,1820,38,11,165,1378,7319,3412,5815,479,4865,687,5849
Région,RSS15,15 - Laurentides,12227,2559,33,59,189,1867,7520,4707,7423,851,6736,972,7798
Région,RSS16,16 - Montérégie,25507,4291,25,155,773,2185,18078,7429,13418,1444,10375,1973,12607
Région,RSS00,Inconnu,466,50,1,,11,57,347,119,418,15,247,85,322
Région,RSS98,Hors-Québec,787,123,11,10,117,125,401,386,404,140,324,212,516
Région,RSS99,Ensemble du Québec,195519,45654,466,609,3740,17336,127714,67805,107256,10241,92260,14733,105795

