No,RSS,NoRLS,RLS,Cas vague 1,Taux cas vague 1,Cas vague 2,Taux cas vague 2,Cas vague 3,Taux cas vague 3,Cas vague 4,Taux cas vague 4,Cas vague 5,Taux cas vague 5,Cas vague 6,Taux cas vague 6,Cas vague 7,Taux cas vague 7
05,05 - Estrie,0511,0511 - RLS de la Pommeraie,100,175.65,844,1457.03,219,371.68,283,480.30,1612,2708.83,742,1234.69,1537,2533.44
05,05 - Estrie,0512,0512 - RLS de la Haute-Yamaska,169,158.02,2712,2508.63,420,384.39,855,782.51,3648,3308.47,1334,1198.98,2907,2590.16
05,05 - Estrie,0513,0513 - RLS de Memphrémagog,83,156.38,633,1176.15,210,384.87,664,1216.92,2349,4270.37,810,1460.78,1287,2303.56
05,05 - Estrie,0514,0514 - RLS de Coaticook,12,63.77,402,2118.63,189,987.93,168,878.16,793,4126.02,242,1253.37,497,2562.38
05,05 - Estrie,0515,0515 - RLS de Sherbrooke,262,153.13,3634,2113.99,974,563.94,1999,1157.41,9096,5218.72,3324,1889.95,6769,3816.22
05,05 - Estrie,0516,0516 - RLS de Val Saint-François,69,217.23,562,1758.94,172,535.19,292,908.58,1322,4088.77,435,1337.35,921,2815.31
05,05 - Estrie,0517,0517 - RLS d'Asbestos,44,304.98,541,3727.31,62,424.60,482,3300.92,678,4628.78,222,1510.92,382,2592.12
05,05 - Estrie,0518,0518 - RLS du Haut-Saint-François,29,126.44,356,1538.59,126,539.85,408,1748.07,931,3967.10,402,1703.68,671,2828.54
05,05 - Estrie,0519,0519 - RLS du Granit,11,50.97,809,3722.36,745,3404.00,556,2540.44,1625,7398.47,206,934.58,616,2785.44
05,05 - Estrie,,Total (incluant inconnus),790,158.77,10495,2090.36,3120,615.92,5711,1127.41,22078,4323.04,7724,1500.24,15603,3007.34
06,06 - Montréal,0611,0611 - RLS de Pierrefonds - Lac Saint-Louis,1457,643.32,7253,3208.04,2223,984.95,2066,915.39,11744,5194.41,2687,1186.41,5345,2357.87
06,06 - Montréal,0612,0612 - RLS de Dorval - Lachine - Lasalle,2009,1343.77,5629,3789.70,1735,1175.77,1403,950.78,9030,6112.73,1878,1269.90,4035,2727.98
06,06 - Montréal,0621,0621 - RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,1310,995.19,4685,3605.04,1199,934.67,1529,1191.91,6866,5337.25,1812,1404.60,3269,2530.91
06,06 - Montréal,0622,0622 - RLS de Côte-des-Neiges - Métro - Parc-Extension,2626,1066.57,10624,4401.30,2744,1159.97,2476,1046.68,13629,5725.81,3015,1258.88,5457,2270.35
06,06 - Montréal,0631,0631 - RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,1642,978.61,4231,2556.98,1227,752.08,1560,956.19,9312,5693.67,2170,1323.56,3999,2436.13
06,06 - Montréal,0632,0632 - RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,1396,865.77,4382,2802.44,1198,790.84,1434,946.63,9926,6478.33,2174,1403.01,3650,2337.64
06,06 - Montréal,0641,0641 - RLS du Nord de l'Île - Saint-Laurent,1697,1044.35,8568,5315.96,2849,1782.23,1996,1248.62,8493,5299.12,1750,1089.07,3616,2248.34
06,06 - Montréal,0642,0642 - RLS d'Ahuntsic - Montréal-Nord,3848,2224.56,9026,5264.69,1988,1170.03,2359,1388.38,10843,6382.91,1897,1116.93,4969,2928.42
06,06 - Montréal,0643,0643 - RLS de la Petite Patrie - Villeray,909,785.12,3568,3139.93,835,748.97,1085,973.21,8313,7440.39,1526,1362.88,2665,2377.65
06,06 - Montréal,0651,0651 - RLS de Saint-Léonard - Saint-Michel,2102,1511.44,8800,6377.55,2184,1595.38,2615,1910.22,8450,6169.68,1232,899.11,3659,2671.97
