group,1d,2d,3d,pop 2021
0-4,26418,8938,21,428991
5-11,439674,336060,22008,650347
12-17,532566,509919,114859,529446
18-29,1117141,1058325,448860,1216440
30-39,1024901,984981,516724,1118629
40-49,1029970,1005662,654357,1115327
50-59,1082300,1056879,803504,1155183
60-69,1118300,1106384,1001579,1168854
70-79,755589,754208,725758,783129
80 plus,401267,401709,391595,425520
Total 5+,7501708,7214127,4679244,8162875
Total,7528126,7223065,4679265,8591866
