No,RSS,NoRLS,RLS,Cas vague 1,Taux cas vague 1,Cas vague 2,Taux cas vague 2,Cas vague 3,Taux cas vague 3,Cas vague 4,Taux cas vague 4,Cas vague 5,Taux cas vague 5,Cas vague 6,Taux cas vague 6,Cas vague 7,Taux cas vague 7,Cas vague haute endémicité,Taux cas vague haute endémicité
01,01 - Bas-Saint-Laurent,0111,0111 - RLS de Kamouraska,n.d.,n.d.,186,889.14,508,2427.02,61,291.43,995,4747.70,502,2392.30,322,1534.50,519,2470.49
01,01 - Bas-Saint-Laurent,0112,0112 - RLS de Rivière-du-Loup,23,65.78,278,792.50,1003,2849.84,27,76.72,2159,6115.54,1102,3111.94,592,1671.75,952,2680.60
01,01 - Bas-Saint-Laurent,0113,0113 - RLS de Témiscouata,5,25.94,134,691.49,278,1427.03,38,195.06,1041,5338.19,493,2525.49,276,1413.86,520,2661.28
01,01 - Bas-Saint-Laurent,0114,0114 - RLS des Basques,n.d.,n.d.,34,392.84,181,2076.64,6,68.84,398,4559.78,249,2848.64,159,1819.01,231,2639.25
01,01 - Bas-Saint-Laurent,0115,0115 - RLS de Rimouski,11,19.06,574,992.02,222,382.71,117,201.70,3203,5499.09,1750,2992.27,1359,2323.71,1867,3180.09
01,01 - Bas-Saint-Laurent,0116,0116 - RLS de La Mitis,n.d.,n.d.,87,479.91,99,544.58,37,203.53,1085,5964.65,413,2268.98,478,2626.09,520,2855.10
01,01 - Bas-Saint-Laurent,0117,0117 - RLS de Matane,0,0.00,233,1118.63,25,120.29,37,178.03,1006,4842.13,460,2214.84,414,1993.36,579,2788.95
01,01 - Bas-Saint-Laurent,0118,0118 - RLS de La Matapédia,n.d.,n.d.,45,253.81,35,196.59,313,1758.03,1012,5677.58,453,2538.53,407,2280.75,415,2322.85
01,01 - Bas-Saint-Laurent,,Total (incluant inconnus),53,26.76,1585,798.17,2357,1183.85,640,321.45,10939,5482.45,5424,2712.57,4018,2009.42,5622,2805.91
02,02 - Saguenay-Lac-Saint-Jean,0211,0211 - RLS du Domaine-du-Roy,n.d.,n.d.,500,1600.61,300,958.22,40,127.76,1532,4885.52,720,2292.41,666,2120.48,645,2050.74
02,02 - Saguenay-Lac-Saint-Jean,0212,0212 - RLS de Maria-Chapdelaine,5,19.90,713,2839.39,285,1135.41,156,621.49,1057,4217.79,406,1622.70,365,1458.83,508,2033.75
02,02 - Saguenay-Lac-Saint-Jean,0213,0213 - RLS de Lac-Saint-Jean-Est,29,55.22,2305,4370.29,463,874.08,44,83.07,2360,4445.41,1125,2114.38,742,1394.55,1218,2284.58
02,02 - Saguenay-Lac-Saint-Jean,0214,0214 - RLS de Jonquière,52,76.44,1997,2925.69,354,516.85,136,198.56,3327,4849.71,1412,2054.95,972,1414.60,1689,2454.21
02,02 - Saguenay-Lac-Saint-Jean,0215,0215 - RLS de Chicoutimi,135,169.79,2620,3300.29,344,434.00,139,175.37,3739,4691.75,1724,2151.69,1239,1546.37,1911,2373.44
02,02 - Saguenay-Lac-Saint-Jean,0216,0216 - RLS de La Baie,13,57.50,672,2958.85,108,473.37,16,70.13,974,4261.00,384,1676.71,306,1336.13,426,1856.98
02,02 - Saguenay-Lac-Saint-Jean,,Total (incluant inconnus),247,88.55,8892,3181.99,1871,668.34,545,194.68,13250,4721.01,5820,2068.44,4326,1537.47,6430,2279.97
03,03 - Capitale-Nationale,0311,0311 - RLS de Portneuf,58,105.25,1377,2470.78,675,1197.70,121,214.70,2715,4788.36,674,1181.59,629,1102.70,1231,2145.68
03,03 - Capitale-Nationale,0312,0312 - RLS de Québec-Sud,956,297.31,9694,3020.75,3760,1173.99,1348,420.89,16541,5132.23,6043,1863.30,5000,1541.70,7243,2220.66
03,03 - Capitale-Nationale,0313,0313 - RLS de Québec-Nord,644,182.96,9455,2672.31,5103,1434.86,1677,471.54,18644,5219.52,6218,1733.24,4729,1318.18,7183,1993.93
03,03 - Capitale-Nationale,0314,0314 - RLS de Charlevoix,13,45.79,522,1827.03,135,469.55,69,239.99,1483,5139.31,669,2310.00,463,1598.70,769,2646.02
03,03 - Capitale-Nationale,,Total (incluant inconnus),1674,221.13,21069,2775.78,9693,1273.67,3231,424.56,39595,5175.48,13728,1785.01,10937,1422.11,16538,2139.90
04,04 - Mauricie et Centre-du-Québec,0411,0411 - RLS du Haut-Saint-Maurice,n.d.,n.d.,387,2560.54,31,204.90,70,462.69,1262,8334.98,487,3213.89,164,1082.29,287,1892.39
04,04 - Mauricie et Centre-du-Québec,0412,0412 - RLS de la Vallée de la Batiscan,97,376.48,308,1184.80,98,373.66,94,358.41,1133,4304.14,380,1438.30,270,1021.95,550,2074.26
04,04 - Mauricie et Centre-du-Québec,0413,0413 - RLS de Maskinongé,224,977.01,350,1513.19,78,334.29,191,818.58,1095,4683.89,249,1063.06,294,1255.18,543,2313.49
04,04 - Mauricie et Centre-du-Québec,0414,0414 - RLS du Centre-de-la-Mauricie,317,485.64,1043,1581.69,172,258.22,280,420.36,3219,4802.47,1468,2176.52,1055,1564.19,1738,2561.29
04,04 - Mauricie et Centre-du-Québec,0415,0415 - RLS de Trois-Rivières,844,581.91,2639,1812.96,361,247.11,1079,738.61,8806,5993.55,3071,2078.33,2292,1551.13,3977,2677.02
