CIUSSS;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
CIUSSS de l'Ouest-de-l'Île-de-Montréal;39;744;198,9;6442;1721,9;9;n.p.;632;168,9
CIUSSS du Centre-Ouest-de-l'Île-de-Montréal ;61;753;199,7;8382;2222,6;< 5;n.p.;523;138,7
CIUSSS du Centre-Sud-de-l'Île-de-Montréal ;35;434;132,5;6017;1837;8;n.p.;534;163
CIUSSS du Nord-de-l'Île-de-Montréal ;68;880;195,6;11229;2495,9;< 5;n.p.;832;184,9
CIUSSS de l'Est-de-l'Île-de-Montréal ;79;1099;204,7;13809;2571,6;9;* 1,7;1026;191,1
Territoire à confirmer;< 5;74;;989;;0;;19;
Total à Montréal;285;3984;192,9;46868;2268,9;34;* 1,6;3566;172,6
