group,1d,2d,pop 2021
0-11,549,135,1079338
12-17,506326,465081,529446
18-29,1062528,986098,1216440
30-39,978956,924245,1118629
40-49,1000916,964704,1115327
50-59,1061173,1026999,1155183
60-69,1102419,1086661,1168854
70-79,747537,744572,783129
80 plus,397889,395870,425520
Total 12+,6857744,6594230,7512528
Total,6858293,6594365,8591866
