group,0d,1d,2d,pop 2021
0-4,89242,125,2,
5-11,148184,15,0,
12-17,66048,59567,226,
18-29,104912,216170,12913,
30-39,90251,213264,15758,
40-49,60443,199725,17804,
50-59,39295,197941,29665,
60-69,14110,191819,60803,
70-79,6841,135255,55476,
80 plus,6146,93137,43425,
Total,625472,1307018,236072,
