CIUSSS;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
CIUSSS de l'Ouest-de-l'Île-de-Montréal;53;586;156,6;45268;12099,9;< 5;n.p.;983;262,8
CIUSSS du Centre-Ouest-de-l'Île-de-Montréal ;43;751;199,1;49112;13022,7;< 5;n.p.;840;222,7
CIUSSS du Centre-Sud-de-l'Île-de-Montréal ;52;657;200,6;37552;11464,8;0;;722;220,4
CIUSSS du Nord-de-l'Île-de-Montréal ;50;648;144;65424;14542;0;;1250;277,8
CIUSSS de l'Est-de-l'Île-de-Montréal ;49;784;146;80859;15058,3;< 5;n.p.;1512;281,6
Territoire à confirmer;18;207;;8455;;0;;32;
Total à Montréal;265;3633;175,9;286670;13877,9;< 5;n.p.;5339;258,5
