Regroupement;Croisement;Nom;cas_tot_n;cas_0cond_n;cas_0cond_p;cas_1cond_n;cas_1cond_p;cas_2cond_n;cas_2cond_p;dec_tot_n;dec_0cond_n;dec_0cond_p;dec_1cond_n;dec_1cond_p;dec_2cond_n;dec_2cond_p
Région;RSS01;01 - Bas-Saint-Laurent;     16201;      9337;       57.6;      3347;       20.7;      3517;       21.7;       115;         5;        4.3;         8;        7.0;       102;       88.7
Région;RSS02;02 - Saguenay–Lac-Saint-Jean;     25179;     13450;       53.4;      5832;       23.2;      5897;       23.4;       362;         5;        1.4;        19;        5.2;       338;       93.4
Région;RSS03;03 - Capitale-Nationale;     74354;     44847;       60.3;     14607;       19.6;     14900;       20.0;      1432;        29;        2.0;       105;        7.3;      1298;       90.6
Région;RSS04;04 - Mauricie et Centre-du-Québec;     49568;     29104;       58.7;      9493;       19.2;     10971;       22.1;       902;        25;        2.8;        49;        5.4;       828;       91.8
Région;RSS05;05 - Estrie;     41879;     25008;       59.7;      8473;       20.2;      8398;       20.1;       543;        22;        4.1;        29;        5.3;       492;       90.6
Région;RSS06;06 - Montréal;    251803;    156646;       62.2;     45130;       17.9;     50027;       19.9;      5227;       157;        3.0;       247;        4.7;      4823;       92.3
Région;RSS07;07 - Outaouais;     33026;     22171;       67.1;      5679;       17.2;      5176;       15.7;       286;         9;        3.1;        14;        4.9;       263;       92.0
Région;RSS08;08 - Abitibi-Témiscamingue;      8393;      4639;       55.3;      1809;       21.6;      1945;       23.2;        81;n.d.;n.d.;n.d.;n.d.;        70;       86.4
Région;RSS09;09 - Côte-Nord;      6208;      3583;       57.7;      1130;       18.2;      1495;       24.1;        38;n.d.;n.d.;n.d.;n.d.;        33;       86.8
Région;RSS10;10 - Nord-du-Québec;      1125;       714;       63.5;       206;       18.3;       205;       18.2;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
Région;RSS11;11 - Gaspésie–Îles-de-la-Madeleine;      6821;      3695;       54.2;      1392;       20.4;      1734;       25.4;        59;n.d.;n.d.;n.d.;n.d.;        52;       88.1
Région;RSS12;12 - Chaudière-Appalaches;     53890;     33465;       62.1;     10291;       19.1;     10134;       18.8;       568;        13;        2.3;        41;        7.2;       514;       90.5
Région;RSS13;13 - Laval;     64327;     40802;       63.4;     12578;       19.6;     10947;       17.0;      1040;        14;        1.3;        61;        5.9;       965;       92.8
Région;RSS14;14 - Lanaudière;     62508;     39052;       62.5;     12590;       20.1;     10866;       17.4;       720;        17;        2.4;        31;        4.3;       672;       93.3
Région;RSS15;15 - Laurentides;     69249;     43730;       63.1;     13390;       19.3;     12129;       17.5;       701;        16;        2.3;        26;        3.7;       659;       94.0
Région;RSS16;16 - Montérégie;    127832;     77031;       60.3;     25122;       19.7;     25679;       20.1;      2032;        43;        2.1;        97;        4.8;      1892;       93.1
Région;RSS17;17 - Nunavik;      2559;      1649;       64.4;       407;       15.9;       503;       19.7;         9;n.d.;n.d.;n.d.;n.d.;         8;       88.9
Région;RSS18;18 - Terres-Cries-de-la-Baie-James;      2014;      1329;       66.0;       317;       15.7;       368;       18.3;        13;n.d.;n.d.;n.d.;n.d.;        11;       84.6
Région;RSS997;Total Québec jumelés;    897133;    550410;       61.4;    171820;       19.2;    174903;       19.5;     14133;       367;        2.6;       741;        5.2;     13025;       92.2
Groupe d'âge;0_9;Moins de 10 ans;     77976;     66212;       84.9;      9426;       12.1;      2338;        3.0;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
Groupe d'âge;10_19;10-19 ans;    106086;     88093;       83.0;     14818;       14.0;      3175;        3.0;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
Groupe d'âge;20_29;20-29 ans;    146400;    116791;       79.8;     21794;       14.9;      7815;        5.3;        11;n.d.;n.d.;n.d.;n.d.;         7;       63.6
Groupe d'âge;30_39;30-39 ans;    146250;    100552;       68.8;     31037;       21.2;     14661;       10.0;        31;n.d.;n.d.;n.d.;n.d.;        25;       80.6
Groupe d'âge;40_49;40-49 ans;    144568;     91030;       63.0;     34301;       23.7;     19237;       13.3;        83;        19;       22.9;        16;       19.3;        48;       57.8
Groupe d'âge;50_59;50-59 ans;    113139;     58094;       51.3;     30637;       27.1;     24408;       21.6;       330;        37;       11.2;        33;       10.0;       260;       78.8
Groupe d'âge;60_69;60-69 ans;     65024;     22522;       34.6;     17547;       27.0;     24955;       38.4;       990;        65;        6.6;        85;        8.6;       840;       84.8
Groupe d'âge;70_79;70-79 ans;     39006;      5003;       12.8;      7083;       18.2;     26920;       69.0;      2880;        71;        2.5;       185;        6.4;      2624;       91.1
Groupe d'âge;80_89;80-89 ans;     37506;      1527;        4.1;      3627;        9.7;     32352;       86.3;      5436;        85;        1.6;       244;        4.5;      5107;       93.9
Groupe d'âge;90_;90 ans et plus;     21178;       586;        2.8;      1550;        7.3;     19042;       89.9;      4369;        82;        1.9;       175;        4.0;      4112;       94.1
