Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;45;805;599,6;19423;14468,3;12;*8,9;517;385,1
Anjou;14;204;476,7;6708;15674,4;< 5;n.p.;83;193,9
Baie D'urfé;< 5;12;* 313,9;281;7350,2;0;;< 5;n.p.
Beaconsfield;< 5;65;336,4;1429;7394,9;< 5;n.p.;26;* 134,5
Côte-des-Neiges–Notre-Dame-de-Grâce;44;890;534,5;23159;13907,6;12;*7,2;397;238,4
Côte-Saint-Luc;19;210;647,2;5118;15772,9;< 5;n.p.;126;388,3
Dollard-des-Ormeaux;9;248;507,2;5844;11951,2;< 5;n.p.;130;265,9
Dorval;11;121;637,5;1981;10437,3;< 5;n.p.;70;368,8
Hampstead;< 5;66;946,5;967;13867,8;0;;6;n.p.
Kirkland;< 5;66;327,5;1849;9175,7;< 5;n.p.;39;193,5
Lachine;9;231;519,2;6032;13558,4;9;n.p.;184;413,6
LaSalle;8;387;503,6;10766;14008,6;5;n.p.;256;333,1
L'Île-Bizard–Sainte-Geneviève;6;96;521,4;2228;12100,1;< 5;n.p.;78;423,6
Mercier–Hochelaga-Maisonneuve;18;787;578,6;18763;13793,9;17;*12,5;490;360,2
Montréal Est;< 5;34;* 883,1;632;16415,6;< 5;n.p.;11;* 285,7
Montréal-Nord;21;545;647;14888;17674,6;10;*11,9;370;439,3
Montréal-Ouest;0;18;* 356,4;517;10237,6;0;;< 5;n.p.
Mont-Royal;7;94;463,6;2406;11866,2;0;;95;468,5
Outremont;8;108;450,9;2666;11129,7;0;;29;* 121,1
Pierrefonds–Roxboro;21;341;492,1;8641;12469,5;< 5;n.p.;97;140
Plateau Mont-Royal;10;447;429,8;11919;11460,6;5;n.p.;188;180,8
Pointe-Claire;10;131;417,5;2672;8515;< 5;n.p.;63;200,8
Rivière-des-Prairies–Pointe-aux-Trembles;12;567;531,2;17194;16107,8;8;n.p.;347;325,1
Rosemont–La Petite Patrie;34;639;457,8;17033;12202,2;8;n.p.;348;249,3
Sainte-Anne-de-Bellevue;< 5;19;* 383,2;416;8390,5;< 5;n.p.;14;* 282,4
Saint-Laurent;11;443;448,3;14270;14439,2;< 5;n.p.;168;170
Saint-Léonard;15;425;542,7;14011;17892,9;5;n.p.;164;209,4
Senneville;0;< 5;n.p.;78;8469,1;0;;0;
Sud-Ouest;19;374;478,6;9386;12010,1;< 5;n.p.;222;284,1
Verdun;< 5;316;456,5;7256;10481,2;< 5;n.p.;208;300,5
Ville-Marie;22;536;601,1;11391;12774,5;6;n.p.;145;162,6
Villeray–Saint-Michel–Parc-Extension;28;698;485,2;21271;14786,6;12;*8,3;236;164,1
Westmount;< 5;128;630,2;1785;8787,9;0;;63;310,2
Territoire à confirmer;48;538;;7219;;0;;29;
Total à Montréal;470;10591;512,7;270200;13080,6;140;6,8;5205;252
