group,0d,1d,2d,pop 2021
0-4,88211,74,16,109960
5-11,144217,36,17,149671
12-17,29745,97216,89225,115666
18-29,7512,315597,289727,367326
30-39,29167,273324,255746,330128
40-49,18682,242825,230461,281268
50-59,10171,226642,217824,254246
60-69,252,206502,200541,219244
70-79,0,144102,140562,148691
80 plus,191,99954,95712,102264
Total 12+,95720,1606162,1519798,1818833
Total,327630,1606272,1519831,2078464
