"Date";"Doses du vaccin COVID-19 reçues (cumulatif)";"Doses du vaccin COVID-19 administrées (cumulatif)"
2023-02-02;25913687;22888561
2023-02-01;25913687;22886114
2023-01-31;25913687;22883940
2023-01-30;25875487;22881555
2023-01-29;25875487;22880197
2023-01-28;25875487;22879555
2023-01-27;25875487;22876485
