group,1d,2d,pop 2021
0-11,404,58,1079338
12-17,420903,146480,529446
18-29,859141,473377,1216440
30-39,839649,545761,1118629
40-49,907038,666784,1115327
50-59,998337,798792,1155183
60-69,1070982,953061,1168854
70-79,734722,694706,783129
80 plus,392382,370560,425520
Total 12+,6223154,4649521,7512528
Total,6223558,4649579,8591866
