group,1d,2d,pop 2021
0-11,500,103,1079338
12-17,488321,432541,529446
18-29,1015097,905844,1216440
30-39,942394,863249,1118629
40-49,977821,923745,1115327
50-59,1045653,999006,1155183
60-69,1094515,1071913,1168854
70-79,744176,736762,783129
80 plus,396062,386561,425520
Total 12+,6704039,6319621,7512528
Total,6704539,6319724,8591866
