,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,3986,0,3960,26,53,0,3922,11,196934.5,2024.02,5.59,26.91,0
02,02 - Saguenay-Lac-Saint-Jean,11060,0,10837,223,271,0,10771,18,277505,3985.51,6.49,97.66,1
03,03 - Capitale-Nationale,33025,11,32672,353,1119,1,31796,110,757803,4357.99,14.47,147.66,1
04,04 - Mauricie et Centre-du-Québec,15622,14,15382,240,525,0,14894,203,523331.5,2985.11,38.72,100.32,27
05,05 - Estrie,15038,21,14521,517,352,0,14606,80,494966.5,3038.19,16.10,71.12,3
06,06 - Montréal,134540,138,131610,2930,4774,0,129036,730,2072060.5,6493.05,35.12,230.40,52
07,07 - Outaouais,12640,5,12193,447,215,0,12395,30,402744,3138.47,7.42,53.38,3
08,08 - Abitibi-Témiscamingue,1173,7,1140,33,9,0,1142,22,147637,794.52,14.90,6.10,0
09,09 - Côte-Nord,585,0,566,19,4,0,577,4,89700.5,652.17,4.48,4.46,0
10,10 - Nord-du-Québec,110,0,108,2,0,0,110,0,13521.5,813.52,0.00,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2077,1,2057,20,46,0,2026,5,89823,2312.33,5.58,51.21,0
12,12 - Chaudière-Appalaches,19344,6,19062,282,368,0,18942,34,431109.5,4487.03,7.87,85.36,4
13,13 - Laval,32395,50,30552,1843,917,0,31216,262,444658.5,7285.37,58.67,206.23,15
14,14 - Lanaudière,24340,30,23627,713,517,0,23678,145,522367,4659.56,27.64,98.97,5
15,15 - Laurentides,21314,24,20710,604,510,0,20661,143,630238,3381.90,22.57,80.92,21
16,16 - Montérégie,52053,57,50089,1964,1559,0,50194,300,1438226,3619.25,20.78,108.40,12
17,17 - Nunavik,49,-1,47,2,0,0,47,2,14336.5,341.78,13.88,0.00,0
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,116,0,18507,643.00,0.00,16.21,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,564,2,559,5,0,0,537,27,.,.,.,.,3
999,Ensemble du Québec,380038,365,369814,10224,11242,1,366670,2126,8565469.5,4436.86,24.74,131.25,147

