group,1d,2d,pop 2021
0-11,446,85,1079338
12-17,461197,382701,529446
18-29,939401,777091,1216440
30-39,897529,779494,1118629
40-49,947341,864084,1115327
50-59,1025174,956565,1155183
60-69,1084188,1050410,1168854
70-79,739911,727605,783129
80 plus,394298,381871,425520
Total 12+,6489039,5919821,7512528
Total,6489485,5919906,8591866
