group,1d,2d,pop 2021
0-11,439,79,1079338
12-17,454406,366654,529446
18-29,923725,744589,1216440
30-39,888016,756502,1118629
40-49,940937,845533,1115327
50-59,1021078,940983,1155183
60-69,1082326,1042677,1168854
70-79,739183,725342,783129
80 plus,394052,380895,425520
Total 12+,6443723,5803175,7512528
Total,6444162,5803254,8591866
