No,RSS,NoRLS,RLS,Cas,Cas actifs,Population,Cas pour 100 000,Cas actifs pour 100 000
01,01 - Bas-Saint-Laurent,0111,0111 - RLS de Kamouraska,2262,36,20859.333333,10844.07,172.89
01,01 - Bas-Saint-Laurent,0112,0112 - RLS de Rivière-du-Loup,4622,46,35045.666667,13188.51,130.66
01,01 - Bas-Saint-Laurent,0113,0113 - RLS de Témiscouata,1973,26,19215,10268.02,135.71
01,01 - Bas-Saint-Laurent,0114,0114 - RLS des Basques,873,10,8566.3333333,10191.06,117.23
01,01 - Bas-Saint-Laurent,0115,0115 - RLS de Rimouski,6029,90,57767,10436.75,155.43
01,01 - Bas-Saint-Laurent,0116,0116 - RLS de La Mitis,1723,24,17995,9574.88,133.95
01,01 - Bas-Saint-Laurent,0117,0117 - RLS de Matane,1742,15,20715.666667,8409.09,72.72
01,01 - Bas-Saint-Laurent,0118,0118 - RLS de La Matapédia,1858,25,17574.333333,10572.24,142.88
01,01 - Bas-Saint-Laurent,,Total (incluant inconnus),21086,272,197738.33333,10663.59,137.61
02,02 - Saguenay-Lac-Saint-Jean,0211,0211 - RLS du Domaine-du-Roy,3046,48,31025.333333,9817.78,155.17
02,02 - Saguenay-Lac-Saint-Jean,0212,0212 - RLS de Maria-Chapdelaine,2647,15,25032.333333,10574.32,60.16
02,02 - Saguenay-Lac-Saint-Jean,0213,0213 - RLS de Lac-Saint-Jean-Est,6244,24,52510,11891.07,45.68
02,02 - Saguenay-Lac-Saint-Jean,0214,0214 - RLS de Jonquière,7353,51,67904,10828.52,75.16
02,02 - Saguenay-Lac-Saint-Jean,0215,0215 - RLS de Chicoutimi,8577,73,79539,10783.39,91.55
02,02 - Saguenay-Lac-Saint-Jean,0216,0216 - RLS de La Baie,2221,30,22589.333333,9832.07,132.79
02,02 - Saguenay-Lac-Saint-Jean,,Total (incluant inconnus),30638,244,278600,10997.13,87.58
03,03 - Capitale-Nationale,0311,0311 - RLS de Portneuf,5554,43,55481.666667,10010.51,76.94
03,03 - Capitale-Nationale,0312,0312 - RLS de Québec-Sud,38412,405,323240,11883.43,124.28
03,03 - Capitale-Nationale,0313,0313 - RLS de Québec-Nord,41604,295,354000,11752.54,82.77
03,03 - Capitale-Nationale,0314,0314 - RLS de Charlevoix,2867,37,28382,10101.47,130.29
03,03 - Capitale-Nationale,,Total (incluant inconnus),89395,798,761103.66667,11745.44,104.10
04,04 - Mauricie et Centre-du-Québec,0411,0411 - RLS du Haut-Saint-Maurice,2198,7,15084,14571.73,46.40
04,04 - Mauricie et Centre-du-Québec,0412,0412 - RLS de la Vallée de la Batiscan,2163,13,25787,8387.95,50.32
04,04 - Mauricie et Centre-du-Québec,0413,0413 - RLS de Maskinongé,2170,11,22901,9475.57,48.05
04,04 - Mauricie et Centre-du-Québec,0414,0414 - RLS du Centre-de-la-Mauricie,6597,75,65575.666667,10060.13,113.74
04,04 - Mauricie et Centre-du-Québec,0415,0415 - RLS de Trois-Rivières,16878,126,145489,11600.88,86.11
04,04 - Mauricie et Centre-du-Québec,0416,0416 - RLS de Bécancour - Nicolet-Yamaska,4693,19,45106,10404.38,41.91
04,04 - Mauricie et Centre-du-Québec,0417,0417 - RLS de Drummond,11216,53,108908.66667,10298.54,48.35
04,04 - Mauricie et Centre-du-Québec,0418,0418 - RLS d'Arthabaska - de l'Érable,13162,89,98815.333333,13319.80,89.67
04,04 - Mauricie et Centre-du-Québec,,Total (incluant inconnus),59321,393,527666.66667,11242.14,74.11
05,05 - Estrie,0511,0511 - RLS de la Pommeraie,3837,28,57842,6633.59,47.78
05,05 - Estrie,0512,0512 - RLS de la Haute-Yamaska,9279,79,108135.33333,8580.91,72.09
05,05 - Estrie,0513,0513 - RLS de Memphrémagog,4793,56,53546.333333,8951.13,103.52
05,05 - Estrie,0514,0514 - RLS de Coaticook,1795,10,18951.333333,9471.63,52.49
05,05 - Estrie,0515,0515 - RLS de Sherbrooke,19383,189,172853,11213.57,107.93
05,05 - Estrie,0516,0516 - RLS de Val Saint-François,2829,17,31930.333333,8859.91,52.90
05,05 - Estrie,0517,0517 - RLS d'Asbestos,2043,6,14436.666667,14151.47,41.45
05,05 - Estrie,0518,0518 - RLS du Haut-Saint-François,2220,7,23079,9619.13,30.12
05,05 - Estrie,0519,0519 - RLS du Granit,3842,6,21632,17760.72,27.68
05,05 - Estrie,,Total (incluant inconnus),50081,400,502406,9968.23,78.74
06,06 - Montréal,0611,0611 - RLS de Pierrefonds - Lac Saint-Louis,26759,215,225064.66667,11889.47,95.47
06,06 - Montréal,0612,0612 - RLS de Dorval - Lachine - Lasalle,21490,132,148454,14475.86,88.66
06,06 - Montréal,0621,0621 - RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,17326,129,130942.66667,13231.75,97.98
06,06 - Montréal,0622,0622 - RLS de Côte-des-Neiges - Métro - Parc-Extension,35209,207,245354.66667,14350.25,83.58
06,06 - Montréal,0631,0631 - RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,20699,128,166358.66667,12442.39,76.73
06,06 - Montréal,0632,0632 - RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,21033,144,160840.33333,13076.94,88.51
06,06 - Montréal,0641,0641 - RLS du Nord de l'Île - Saint-Laurent,25121,126,162591,15450.42,76.61
06,06 - Montréal,0642,0642 - RLS d'Ahuntsic - Montréal-Nord,29149,154,171685.66667,16978.12,89.57
