Regroupement;Croisement;Nom;cas_tot_n;cas_0cond_n;cas_0cond_p;cas_1cond_n;cas_1cond_p;cas_2cond_n;cas_2cond_p;dec_tot_n;dec_0cond_n;dec_0cond_p;dec_1cond_n;dec_1cond_p;dec_2cond_n;dec_2cond_p
Région;RSS01;01 - Bas-Saint-Laurent;     19146;     10650;       55.6;      4018;       21.0;      4478;       23.4;       154;         8;        5.2;        12;        7.8;       134;       87.0
Région;RSS02;02 - Saguenay–Lac-Saint-Jean;     28235;     14744;       52.2;      6610;       23.4;      6881;       24.4;       409;         6;        1.5;        22;        5.4;       381;       93.2
Région;RSS03;03 - Capitale-Nationale;     81741;     48751;       59.6;     16277;       19.9;     16713;       20.4;      1491;        32;        2.1;       107;        7.2;      1352;       90.7
Région;RSS04;04 - Mauricie et Centre-du-Québec;     55212;     31630;       57.3;     10679;       19.3;     12903;       23.4;       960;        28;        2.9;        52;        5.4;       880;       91.7
Région;RSS05;05 - Estrie;     45984;     26844;       58.4;      9436;       20.5;      9704;       21.1;       574;        22;        3.8;        29;        5.1;       523;       91.1
Région;RSS06;06 - Montréal;    265077;    163822;       61.8;     47855;       18.1;     53400;       20.1;      5301;       161;        3.0;       254;        4.8;      4886;       92.2
Région;RSS07;07 - Outaouais;     35303;     23456;       66.4;      6139;       17.4;      5708;       16.2;       294;        10;        3.4;        14;        4.8;       270;       91.8
Région;RSS08;08 - Abitibi-Témiscamingue;      9971;      5357;       53.7;      2166;       21.7;      2448;       24.6;       106;         6;        5.7;         9;        8.5;        91;       85.8
Région;RSS09;09 - Côte-Nord;      7446;      4269;       57.3;      1360;       18.3;      1817;       24.4;        42;n.d.;n.d.;n.d.;n.d.;        37;       88.1
Région;RSS10;10 - Nord-du-Québec;      1311;       822;       62.7;       241;       18.4;       248;       18.9;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
Région;RSS11;11 - Gaspésie–Îles-de-la-Madeleine;      8387;      4312;       51.4;      1759;       21.0;      2316;       27.6;        77;n.d.;n.d.;n.d.;n.d.;        68;       88.3
Région;RSS12;12 - Chaudière-Appalaches;     58333;     35755;       61.3;     11244;       19.3;     11334;       19.4;       601;        18;        3.0;        44;        7.3;       539;       89.7
Région;RSS13;13 - Laval;     67376;     42387;       62.9;     13230;       19.6;     11759;       17.5;      1072;        14;        1.3;        64;        6.0;       994;       92.7
Région;RSS14;14 - Lanaudière;     66434;     41204;       62.0;     13456;       20.3;     11774;       17.7;       739;        18;        2.4;        32;        4.3;       689;       93.2
Région;RSS15;15 - Laurentides;     74484;     46459;       62.4;     14523;       19.5;     13502;       18.1;       718;        16;        2.2;        29;        4.0;       673;       93.7
Région;RSS16;16 - Montérégie;    138492;     82101;       59.3;     27526;       19.9;     28865;       20.8;      2109;        48;        2.3;       104;        4.9;      1957;       92.8
Région;RSS17;17 - Nunavik;      2676;      1713;       64.0;       426;       15.9;       537;       20.1;         9;n.d.;n.d.;n.d.;n.d.;         8;       88.9
Région;RSS18;18 - Terres-Cries-de-la-Baie-James;      2559;      1642;       64.2;       397;       15.5;       520;       20.3;        13;n.d.;n.d.;n.d.;n.d.;        11;       84.6
Région;RSS997;Total Québec jumelés;    968376;    586086;       60.5;    187371;       19.3;    194919;       20.1;     14674;       396;        2.7;       780;        5.3;     13498;       92.0
Groupe d'âge;0_9;Moins de 10 ans;     79454;     67422;       84.9;      9615;       12.1;      2417;        3.0;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
Groupe d'âge;10_19;10-19 ans;    108607;     90103;       83.0;     15196;       14.0;      3308;        3.0;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
Groupe d'âge;20_29;20-29 ans;    156813;    124733;       79.5;     23596;       15.0;      8484;        5.4;        12;n.d.;n.d.;n.d.;n.d.;         8;       66.7
Groupe d'âge;30_39;30-39 ans;    158747;    108520;       68.4;     34017;       21.4;     16210;       10.2;        38;n.d.;n.d.;n.d.;n.d.;        27;       71.1
Groupe d'âge;40_49;40-49 ans;    158048;     98854;       62.5;     37810;       23.9;     21384;       13.5;        86;        20;       23.3;        16;       18.6;        50;       58.1
Groupe d'âge;50_59;50-59 ans;    123773;     63455;       51.3;     33556;       27.1;     26762;       21.6;       341;        37;       10.9;        35;       10.3;       269;       78.9
Groupe d'âge;60_69;60-69 ans;     71019;     24541;       34.6;     19100;       26.9;     27378;       38.6;      1032;        68;        6.6;        92;        8.9;       872;       84.5
Groupe d'âge;70_79;70-79 ans;     44966;      5862;       13.0;      8280;       18.4;     30824;       68.5;      2980;        82;        2.8;       192;        6.4;      2706;       90.8
Groupe d'âge;80_89;80-89 ans;     43009;      1894;        4.4;      4378;       10.2;     36737;       85.4;      5651;        92;        1.6;       254;        4.5;      5305;       93.9
Groupe d'âge;90_;90 ans et plus;     23940;       702;        2.9;      1823;        7.6;     21415;       89.5;      4531;        85;        1.9;       187;        4.1;      4259;       94.0
