"Date";"Doses du vaccin COVID-19 reçues (cumulatif)";"Doses du vaccin COVID-19 administrées (cumulatif)"
2022-04-28;23082195;19461432
2022-04-27;23082195;19428795
2022-04-26;23082195;19396009
2022-04-25;23082195;19365425
2022-04-24;23082195;19342179
2022-04-23;23082195;19328897
2022-04-22;23082195;19299605
