group,1d,2d,pop 2021
0-11,435,73,1079338
12-17,450241,351696,529446
18-29,915501,725774,1216440
30-39,882772,742796,1118629
40-49,937502,834511,1115327
50-59,1018852,932184,1155183
60-69,1081218,1037796,1168854
70-79,738697,723816,783129
80 plus,393851,380203,425520
Total 12+,6418634,5728776,7512528
Total,6419069,5728849,8591866
