Date;Nouveaux cas;Cumulatif de cas;
2020-02-25;1;1;
2020-02-26;0;1;
2020-02-27;0;1;
2020-02-28;0;1;
2020-02-29;0;1;
2020-03-01;1;2;
2020-03-02;2;4;
2020-03-03;0;4;
2020-03-04;0;4;
2020-03-05;0;4;
2020-03-06;0;4;
2020-03-07;0;4;
2020-03-08;1;5;
2020-03-09;1;6;
2020-03-10;2;8;
2020-03-11;3;11;
2020-03-12;3;14;
2020-03-13;2;16;
2020-03-14;5;21;
2020-03-15;6;27;
2020-03-16;5;32;
2020-03-17;7;39;
2020-03-18;6;45;
2020-03-19;35;80;
2020-03-20;49;129;
2020-03-21;91;220;
2020-03-22;88;308;
2020-03-23;132;440;
2020-03-24;145;585;
2020-03-25;184;769;
2020-03-26;179;948;
2020-03-27;239;1187;
2020-03-28;198;1385;
2020-03-29;258;1643;
2020-03-30;264;1907;
2020-03-31;329;2236;
2020-04-01;303;2539;
2020-04-02;407;2946;
2020-04-03;347;3293;
2020-04-04;340;3633;
2020-04-05;258;3891;
2020-04-06;455;4346;
2020-04-07;421;4767;
2020-04-08;372;5139;
2020-04-09;350;5489;
2020-04-10;305;5794;
2020-04-11;261;6055;
2020-04-12;327;6382;
2020-04-13;542;6924;
2020-04-14;468;7392;
2020-04-15;611;8003;
2020-04-16;496;8499;
2020-04-17;568;9067;
2020-04-18;330;9397;
2020-04-19;427;9824;
2020-04-20;480;10304;
2020-04-21;456;10760;
2020-04-22;529;11289;
2020-04-23;524;11813;
2020-04-24;491;12304;
2020-04-25;312;12616;
2020-04-26;282;12898;
2020-04-27;461;13359;
2020-04-28;470;13829;
2020-04-29;517;14346;
2020-04-30;587;14933;
2020-05-01;613;15546;
2020-05-02;525;16071;
2020-05-03;344;16415;
2020-05-04;419;16834;
2020-05-05;466;17300;
2020-05-06;568;17868;
2020-05-07;429;18297;
2020-05-08;427;18724;
2020-05-09;311;19035;
2020-05-10;297;19332;
2020-05-11;362;19694;
2020-05-12;426;20120;
2020-05-13;398;20518;
2020-05-14;352;20870;
2020-05-15;343;21213;
2020-05-16;271;21484;
2020-05-17;341;21825;
2020-05-18;330;22155;
2020-05-19;319;22474;
2020-05-20;405;22879;
2020-05-21;376;23255;
2020-05-22;256;23511;
2020-05-23;216;23727;
2020-05-24;216;23943;
2020-05-25;203;24146;
2020-05-26;239;24385;
2020-05-27;252;24637;
2020-05-28;193;24830;
2020-05-29;192;25022;
2020-05-30;205;25227;
2020-05-31;140;25367;
2020-06-01;155;25522;
2020-06-02;97;25619;
2020-06-03;114;25733;
2020-06-04;125;25858;
2020-06-05;109;25967;
2020-06-06;105;26072;
2020-06-07;75;26147;
2020-06-08;51;26198;
2020-06-09;78;26276;
2020-06-10;67;26343;
2020-06-11;66;26409;
2020-06-12;71;26480;
2020-06-13;65;26545;
2020-06-14;28;26573;
2020-06-15;56;26629;
2020-06-16;74;26703;
2020-06-17;53;26756;
2020-06-18;48;26804;
2020-06-19;64;26868;
2020-06-20;33;26901;
2020-06-21;27;26928;
2020-06-22;41;26969;
2020-06-23;40;27009;
2020-06-24;29;27038;
2020-06-25;45;27083;
2020-06-26;42;27125;
2020-06-27;30;27155;
2020-06-28;18;27173;
2020-06-29;16;27189;
2020-06-30;39;27228;
2020-07-01;23;27251;
2020-07-02;16;27267;
2020-07-03;17;27284;
2020-07-04;16;27300;
2020-07-05;7;27307;
2020-07-06;16;27323;
2020-07-07;21;27344;
2020-07-08;33;27377;
2020-07-09;52;27429;
2020-07-10;48;27477;
2020-07-11;22;27499;
2020-07-12;13;27512;
2020-07-13;75;27587;
2020-07-14;64;27651;
2020-07-15;69;27720;
2020-07-16;66;27786;
2020-07-17;99;27885;
2020-07-18;97;27982;
2020-07-19;55;28037;
2020-07-20;37;28074;
2020-07-21;61;28135;
2020-07-22;78;28213;
2020-07-23;94;28307;
2020-07-24;69;28376;
2020-07-25;34;28410;
2020-07-26;52;28462;
2020-07-27;33;28495;
2020-07-28;36;28531;
2020-07-29;68;28599;
2020-07-30;58;28657;
2020-07-31;56;28713;
2020-08-01;49;28762;
2020-08-02;31;28793;
2020-08-03;45;28838;
2020-08-04;65;28903;
2020-08-05;46;28949;
2020-08-06;21;28970;
2020-08-07;45;29015;
2020-08-08;35;29050;
2020-08-09;37;29087;
2020-08-10;34;29121;
2020-08-11;36;29157;
2020-08-12;35;29192;
2020-08-13;38;29230;
2020-08-14;29;29259;
2020-08-15;14;29273;
2020-08-16;12;29285;
2020-08-17;17;29302;
2020-08-18;17;29319;
2020-08-19;22;29341;
2020-08-20;34;29375;
2020-08-21;32;29407;
2020-08-22;19;29426;
2020-08-23;21;29447;
2020-08-24;8;29455;
2020-08-25;29;29484;
2020-08-26;41;29525;
2020-08-27;43;29568;
2020-08-28;25;29593;
2020-08-29;54;29647;
2020-08-30;14;29661;
2020-08-31;32;29693;
2020-09-01;36;29729;
2020-09-02;36;29765;
2020-09-03;72;29837;
2020-09-04;49;29886;
2020-09-05;63;29949;
2020-09-06;57;30006;
2020-09-07;50;30056;
2020-09-08;71;30127;
2020-09-09;69;30196;
2020-09-10;90;30286;
2020-09-11;107;30393;
2020-09-12;71;30464;
2020-09-13;97;30561;
2020-09-14;71;30632;
2020-09-15;92;30724;
2020-09-16;78;30802;
2020-09-17;70;30872;
2020-09-18;197;31069;
2020-09-19;141;31210;
2020-09-20;200;31410;
2020-09-21;138;31548;
2020-09-22;168;31716;
2020-09-23;254;31970;
2020-09-24;234;32204;
2020-09-25;286;32490;
2020-09-26;352;32842;
2020-09-27;273;33115;
2020-09-28;280;33395;
2020-09-29;355;33750;
2020-09-30;316;34066;
2020-10-01;311;34377;
2020-10-02;416;34793;
2020-10-03;365;35158;
2020-10-04;298;35456;
2020-10-05;277;35733;
2020-10-06;254;35987;
2020-10-07;300;36287;
2020-10-08;346;36633;
2020-10-09;282;36915;
2020-10-10;193;37108;
2020-10-11;324;37432;
2020-10-12;266;37698;
2020-10-13;199;37897;
