No,RSS,NoRLS,RLS,Cas vague 1,Taux cas vague 1,Cas vague 2,Taux cas vague 2,Cas vague 3,Taux cas vague 3,Cas vague 4,Taux cas vague 4,Cas vague 5,Taux cas vague 5,Cas vague 6,Taux cas vague 6
01,01 - Bas-Saint-Laurent,0111,0111 - RLS de Kamouraska,n.d.,n.d.,186,890.89,508,2437.27,61,292.66,995,4776.19,695,3337.82
01,01 - Bas-Saint-Laurent,0112,0112 - RLS de Rivière-du-Loup,23,65.87,278,795.08,1003,2864.49,27,77.11,2159,6149.07,1420,4033.29
01,01 - Bas-Saint-Laurent,0113,0113 - RLS de Témiscouata,5,25.95,134,696.34,278,1446.64,38,197.74,1041,5425.41,639,3335.42
01,01 - Bas-Saint-Laurent,0114,0114 - RLS des Basques,n.d.,n.d.,34,396.06,181,2113.50,6,70.06,398,4656.60,340,3985.93
01,01 - Bas-Saint-Laurent,0115,0115 - RLS de Rimouski,11,19.06,577,1000.03,220,381.37,116,201.09,3203,5541.95,2584,4462.56
01,01 - Bas-Saint-Laurent,0116,0116 - RLS de La Mitis,n.d.,n.d.,87,482.42,99,550.34,37,205.68,1085,6043.56,745,4158.06
01,01 - Bas-Saint-Laurent,0117,0117 - RLS de Matane,0,0.00,233,1122.38,25,120.87,37,178.89,1006,4870.37,668,3238.32
01,01 - Bas-Saint-Laurent,0118,0118 - RLS de La Matapédia,n.d.,n.d.,45,255.49,35,199.24,313,1781.75,1012,5772.30,693,3960.68
01,01 - Bas-Saint-Laurent,,Total (incluant inconnus),53,26.77,1588,802.93,2355,1192.01,639,323.44,10939,5535.54,7791,3941.56
02,02 - Saguenay-Lac-Saint-Jean,0211,0211 - RLS du Domaine-du-Roy,n.d.,n.d.,500,1609.22,300,968.18,40,129.09,1532,4948.32,1107,3578.59
02,02 - Saguenay-Lac-Saint-Jean,0212,0212 - RLS de Maria-Chapdelaine,5,19.89,713,2842.62,285,1138.72,156,623.30,1057,4231.39,590,2366.44
02,02 - Saguenay-Lac-Saint-Jean,0213,0213 - RLS de Lac-Saint-Jean-Est,29,55.25,2305,4390.98,463,881.90,44,83.81,2360,4493.44,1473,2803.47
02,02 - Saguenay-Lac-Saint-Jean,0214,0214 - RLS de Jonquière,52,76.48,1997,2939.92,354,521.64,136,200.40,3327,4902.70,1868,2752.81
02,02 - Saguenay-Lac-Saint-Jean,0215,0215 - RLS de Chicoutimi,135,169.59,2620,3298.11,344,433.94,139,175.34,3735,4697.76,2314,2902.00
02,02 - Saguenay-Lac-Saint-Jean,0216,0216 - RLS de La Baie,13,57.54,672,2975.03,108,478.26,16,70.85,973,4307.79,522,2310.55
02,02 - Saguenay-Lac-Saint-Jean,,Total (incluant inconnus),247,88.54,8892,3191.65,1871,672.46,545,195.88,13251,4759.45,7944,2851.44
03,03 - Capitale-Nationale,0311,0311 - RLS de Portneuf,58,105.27,1375,2487.47,676,1218.94,121,218.18,2715,4876.56,1020,1824.98
03,03 - Capitale-Nationale,0312,0312 - RLS de Québec-Sud,956,297.08,9693,3010.97,3758,1166.90,1348,418.57,16514,5097.50,8934,2741.54
03,03 - Capitale-Nationale,0313,0313 - RLS de Québec-Nord,644,183.07,9456,2680.33,5104,1442.61,1676,473.71,18643,5249.94,8986,2521.23
03,03 - Capitale-Nationale,0314,0314 - RLS de Charlevoix,13,45.79,522,1839.74,135,476.09,69,243.33,1483,5225.97,954,3359.27
