Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;40;553;411,9;19830;14771,5;5;n.p.;523;389,6
Anjou;6;130;303,8;6801;15891,7;< 5;n.p.;84;196,3
Baie D'urfé;< 5;9;n.p.;287;7507,2;0;;< 5;n.p.
Beaconsfield;8;62;320,8;1485;7684,7;0;;26;* 134,5
Côte-des-Neiges–Notre-Dame-de-Grâce;48;622;373,5;23613;14180,3;< 5;n.p.;398;239
Côte-Saint-Luc;15;185;570,1;5262;16216,7;< 5;n.p.;127;391,4
Dollard-des-Ormeaux;8;189;386,5;6004;12278,4;< 5;n.p.;131;267,9
Dorval;< 5;89;468,9;2040;10748,2;0;;70;368,8
Hampstead;< 5;35;* 501,9;1000;14341;0;;6;n.p.
Kirkland;< 5;42;208,4;1885;9354,4;0;;39;193,5
Lachine;18;185;415,8;6191;13915,8;< 5;n.p.;186;418,1
LaSalle;13;242;314,9;10966;14268,8;< 5;n.p.;258;335,7
L'Île-Bizard–Sainte-Geneviève;7;109;592;2320;12599,8;< 5;n.p.;79;429
Mercier–Hochelaga-Maisonneuve;46;433;318,3;19103;14043,8;11;*8,1;496;364,6
Montréal Est;< 5;17;* 441,6;641;16649,4;< 5;n.p.;11;* 285,7
Montréal-Nord;25;300;356,2;15114;17942,9;10;*11,9;378;448,7
Montréal-Ouest;< 5;22;* 435,6;540;10693,1;0;;< 5;n.p.
Mont-Royal;10;113;557,3;2502;12339,7;0;;95;468,5
Outremont;5;95;396,6;2746;11463,6;< 5;n.p.;30;* 125,2
Pierrefonds–Roxboro;21;239;344,9;8826;12736,5;< 5;n.p.;100;144,3
Plateau Mont-Royal;20;372;357,7;12250;11778,8;< 5;n.p.;192;184,6
Pointe-Claire;< 5;122;388,8;2776;8846,4;< 5;n.p.;64;204
Rivière-des-Prairies–Pointe-aux-Trembles;20;368;344,8;17477;16373;< 5;n.p.;350;327,9
Rosemont–La Petite Patrie;44;422;302,3;17364;12439,3;< 5;n.p.;348;249,3
Sainte-Anne-de-Bellevue;0;13;* 262,2;428;8632,5;0;;14;* 282,4
Saint-Laurent;27;326;329,9;14524;14696,2;< 5;n.p.;170;172
Saint-Léonard;23;274;349,9;14214;18152,1;< 5;n.p.;166;212
Senneville;< 5;5;n.p.;82;8903,4;0;;0;
Sud-Ouest;9;240;307,1;9579;12257;6;n.p.;227;290,5
Verdun;20;222;320,7;7436;10741,2;< 5;n.p.;211;304,8
Ville-Marie;13;289;324,1;11613;13023,4;< 5;n.p.;147;164,9
Villeray–Saint-Michel–Parc-Extension;27;396;275,3;21568;14993,1;6;n.p.;240;166,8
Westmount;12;90;443,1;1867;9191,6;< 5;n.p.;64;315,1
Territoire à confirmer;-17;297;;7339;;< 5;;30;
Total à Montréal;488;7107;344,1;275674;13345,6;78;3,8;5266;254,9
