Date;Doses du vaccin COVID-19 reçues (cumulatif);Doses du vaccin COVID-19 administrées (cumulatif)
2021-04-11;2429695;1944877
2021-04-10;2429695;1892172
2021-04-09;2429695;1831238
2021-04-08;2358095;1756541
2021-04-07;2358095;1686291
2021-04-06;2358095;1638252
2021-04-05;2334695;1594257
