Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;32;421;313,6;9496;7073,6;< 5;n.p.;473;352,3
Anjou;10;136;317,8;3251;7596,5;0;;74;172,9
Baie D'urfé;< 5;7;n.p.;78;2040,3;0;;< 5;n.p.
Beaconsfield;< 5;21;* 108,7;411;2126,9;0;;19;* 98,3
Côte-des-Neiges–Notre-Dame-de-Grâce;23;443;266;10843;6511,5;< 5;n.p.;352;211,4
Côte-Saint-Luc;< 5;137;422,2;2585;7966,6;< 5;n.p.;112;345,2
Dollard-des-Ormeaux;16;134;274;2470;5051,2;< 5;n.p.;120;245,4
Dorval;< 5;46;242,4;739;3893,6;0;;67;353
Hampstead;< 5;7;n.p.;361;5177,1;0;;5;n.p.
Kirkland;< 5;42;208,4;642;3185,9;0;;33;* 163,8
Lachine;8;165;370,9;2749;6179,1;< 5;n.p.;170;382,1
LaSalle;25;226;294,1;4961;6455,2;0;;237;308,4
L'Île-Bizard–Sainte-Geneviève;8;75;407,3;970;5268;0;;74;401,9
Mercier–Hochelaga-Maisonneuve;26;288;211,7;8048;5916,6;< 5;n.p.;441;324,2
Montréal Est;< 5;13;* 337,7;254;6597,4;0;;9;* 233,8
Montréal-Nord;11;156;185,2;8410;9984,1;< 5;n.p.;327;388,2
Montréal-Ouest;0;16;* 316,8;161;3188,1;0;;< 5;n.p.
Mont-Royal;< 5;53;261,4;1053;5193,3;0;;92;453,7
Outremont;< 5;30;* 125,2;1178;4917,8;0;;22;* 91,8
Pierrefonds–Roxboro;20;180;259,8;3731;5384,1;< 5;n.p.;80;115,4
Plateau Mont-Royal;11;172;165,4;4136;3976,9;0;;170;163,5
Pointe-Claire;5;42;133,8;966;3078,4;< 5;n.p.;53;168,9
Rivière-des-Prairies–Pointe-aux-Trembles;35;317;297;8369;7840,3;< 5;n.p.;312;292,3
Rosemont–La Petite Patrie;14;242;173,4;6505;4660,1;< 5;n.p.;321;230
Sainte-Anne-de-Bellevue;0;5;n.p.;127;2561,5;0;;12;* 242
Saint-Laurent;22;387;391,6;7243;7328,9;< 5;n.p.;151;152,8
Saint-Léonard;18;291;371,6;7174;9161,6;< 5;n.p.;132;168,6
Senneville;0;0;;22;* 2388,7;0;;0;
Sud-Ouest;8;131;167,6;3462;4429,9;< 5;n.p.;204;261
Verdun;6;123;177,7;2945;4254;0;;192;277,3
Ville-Marie;12;153;171,6;4292;4813,3;< 5;n.p.;116;130,1
Villeray–Saint-Michel–Parc-Extension;23;390;271,1;9972;6932,1;< 5;n.p.;186;129,3
Westmount;0;18;* 88,6;672;3308,4;0;;58;285,5
Territoire à confirmer;10;58;;1800;;0;;26;
Total à Montréal;358;4925;238,4;120076;5813;25;*1,2;4646;224,9
