,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4125,15,4103,22,54,0,4015,56,196934.5,2094.61,28.46,27.42,3
02,02 - Saguenay-Lac-Saint-Jean,11280,5,11061,219,271,0,10974,35,277505,4064.79,12.62,97.66,3
03,03 - Capitale-Nationale,34137,25,33783,354,1122,0,32800,215,757803,4504.73,28.28,148.06,28
04,04 - Mauricie et Centre-du-Québec,17050,27,16813,237,569,-1,16255,226,523331.5,3257.97,43.10,108.73,7
05,05 - Estrie,16602,21,16093,509,364,1,15988,250,494966.5,3354.17,50.33,73.54,26
06,06 - Montréal,145700,147,142763,2937,4808,0,139274,1618,2072060.5,7031.65,77.85,232.04,151
07,07 - Outaouais,13860,12,13412,448,221,0,13459,180,402744,3441.39,44.50,54.87,24
08,08 - Abitibi-Témiscamingue,1235,1,1202,33,9,0,1222,4,147637,836.51,2.71,6.10,0
09,09 - Côte-Nord,615,2,595,20,4,0,604,7,89700.5,685.61,7.83,4.46,0
10,10 - Nord-du-Québec,136,0,134,2,0,0,136,0,13521.5,1005.81,0.00,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2157,3,2136,21,47,0,2092,18,89823,2401.39,20.08,52.33,1
12,12 - Chaudière-Appalaches,21003,68,20729,274,373,0,20191,439,431109.5,4871.85,101.64,86.52,53
13,13 - Laval,36180,41,34261,1919,931,0,34761,488,444658.5,8136.58,109.28,209.37,46
14,14 - Lanaudière,26712,28,26002,710,524,0,25877,311,522367,5113.65,59.28,100.31,40
15,15 - Laurentides,24285,40,23683,602,520,3,23348,417,630238,3853.31,65.82,82.51,32
16,16 - Montérégie,56878,72,54949,1929,1577,0,54549,752,1438226,3954.73,52.09,109.65,71
17,17 - Nunavik,52,0,50,2,0,0,51,1,14336.5,362.71,6.94,0.00,0
18,18 - Terres-Cries-de-la-Baie-James,142,0,142,0,5,0,136,1,18507,767.28,5.37,27.02,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,1153,-1,1146,7,1,0,1131,21,.,.,.,.,2
999,Ensemble du Québec,413306,506,403060,10246,11400,3,396867,5039,8565469.5,4825.26,58.65,133.09,487

