CIUSSS;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
CIUSSS de l'Ouest-de-l'Île-de-Montréal;23;371;99,2;22019;5885,6;< 5;n.p.;892;238,4
CIUSSS du Centre-Ouest-de-l'Île-de-Montréal ;27;365;96,8;25282;6703,8;< 5;n.p.;766;203,1
CIUSSS du Centre-Sud-de-l'Île-de-Montréal ;18;233;71,1;16175;4938,3;0;;647;197,5
CIUSSS du Nord-de-l'Île-de-Montréal ;24;535;118,9;36260;8059,6;6;n.p.;1118;248,5
CIUSSS de l'Est-de-l'Île-de-Montréal ;51;865;161,1;43567;8113,4;< 5;n.p.;1359;253,1
Territoire à confirmer;< 5;40;;2397;;0;;26;
Total à Montréal;147;2409;116,6;145700;7053,4;16;* 0,8;4808;232,8
