CIUSSS;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
CIUSSS de l'Ouest-de-l'Île-de-Montréal;78;547;146,2;23800;6361,6;< 5;n.p.;906;242,2
CIUSSS du Centre-Ouest-de-l'Île-de-Montréal ;64;634;168,1;27375;7258,8;0;;769;203,9
CIUSSS du Centre-Sud-de-l'Île-de-Montréal ;43;472;144,1;17646;5387,4;< 5;n.p.;659;201,2
CIUSSS du Nord-de-l'Île-de-Montréal ;65;682;151,6;38670;8595,3;0;;1127;250,5
CIUSSS de l'Est-de-l'Île-de-Montréal ;136;1231;229,2;47397;8826,7;5;n.p.;1374;255,9
Territoire à confirmer;8;47;;2617;;< 5;;28;
Total à Montréal;394;3613;174,9;157505;7624,9;10;* 0,5;4863;235,4
