,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1196,8,1183,13,24,0,1100,72,197074,606.88,36.53,12.18
02,02 - Saguenay–Lac-Saint-Jean,7195,67,7024,171,204,6,6262,729,277632,2591.56,262.58,73.48
03,03 - Capitale-Nationale,16318,223,16038,280,618,13,13538,2162,755459,2160.01,286.18,81.80
04,04 - Mauricie et Centre-du-Québec,9044,110,8830,214,339,0,7622,1083,522341,1731.44,207.34,64.90
05,05 - Estrie,7120,118,6772,348,144,9,5961,1015,493163,1443.74,205.81,29.20
06,06 - Montréal,65412,892,62639,2773,3788,0,54756,6868,2065657,3166.64,332.49,183.38
07,07 - Outaouais,4405,9,4101,304,105,4,3948,352,401032,1098.42,87.77,26.18
08,08 - Abitibi-Témiscamingue,320,3,287,33,4,0,298,18,147616,216.78,12.19,2.71
09,09 - Côte-Nord,284,4,271,13,3,0,243,38,90033,315.44,42.21,3.33
10,10 - Nord-du-Québec,65,0,63,2,0,0,62,3,13558,479.42,22.13,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1543,3,1524,19,42,0,1453,48,89998,1714.48,53.33,46.67
12,12 - Chaudière-Appalaches,7562,134,7314,248,169,2,6483,910,430309,1757.34,211.48,39.27
13,13 - Laval,15152,215,13846,1306,738,0,12820,1594,442745,3422.29,360.03,166.69
14,14 - Lanaudière,14215,141,13510,705,381,0,12545,1289,520092,2733.17,247.84,73.26
15,15 - Laurentides,9884,98,9283,601,352,0,8748,784,626968,1576.48,125.05,56.14
16,16 - Montérégie,25956,324,24531,1425,1001,12,22179,2776,1432751,1811.62,193.75,69.87
17,17 - Nunavik,29,0,27,2,0,0,29,0,14260,203.37,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,20,1,20,0,1,0,15,4,18385,108.78,21.76,5.44
98,Inconnu,4,0,4,0,0,0,4,0,           .,         .  ,         .  ,         .  
99,Hors Québec,148,-1,146,2,0,0,135,13,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,185872,2349,177413,8459,7913,46,158201,19758,8539073,2176.72,231.38,92.67
