group,1d,2d,3d,pop 2021
0-4,31427,13544,37,428991
5-11,441306,338504,32751,650347
12-17,532846,510430,122595,529446
18-29,1118433,1059344,454448,1216440
30-39,1026372,985931,521752,1118629
40-49,1030795,1006254,658417,1115327
50-59,1082876,1057290,807002,1155183
60-69,1118933,1106790,1003935,1168854
70-79,755917,754402,726616,783129
80 plus,401318,401770,392033,425520
Total 5+,7508796,7220715,4719549,8162875
Total,7540223,7234259,4719586,8591866
