Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;216;3029;2256,3;17619;13124,5;6;n.p.;500;372,5
Anjou;52;1216;2841,4;6206;14501,4;0;;80;186,9
Baie D'urfé;6;86;2249,5;248;6487,1;0;;< 5;n.p.
Beaconsfield;18;359;1857,8;1281;6629,1;< 5;n.p.;23;* 119
Côte-des-Neiges–Notre-Dame-de-Grâce;444;4695;2819,5;21216;12740,8;< 5;n.p.;376;225,8
Côte-Saint-Luc;79;791;2437,7;4642;14306;< 5;n.p.;121;372,9
Dollard-des-Ormeaux;70;1253;2562,4;5278;10793,7;< 5;n.p.;127;259,7
Dorval;27;509;2681,8;1748;9209,7;0;;69;363,5
Hampstead;12;153;2194,2;819;11745,3;0;;6;n.p.
Kirkland;25;454;2253;1676;8317,2;< 5;n.p.;38;188,6
Lachine;87;1362;3061,4;5540;12452,5;0;;172;386,6
LaSalle;135;2172;2826,2;9963;12963,7;< 5;n.p.;249;324
L'Île-Bizard–Sainte-Geneviève;28;485;2634;1981;10758,7;0;;76;412,8
Mercier–Hochelaga-Maisonneuve;224;3603;2648,8;16909;12430,9;6;n.p.;458;336,7
Montréal Est;< 5;96;2493,5;559;14519,5;0;;9;* 233,8
Montréal-Nord;149;1992;2364,8;13536;16069,5;10;*11,9;348;413,1
Montréal-Ouest;< 5;98;1940,6;456;9029,7;0;;< 5;n.p.
Mont-Royal;34;481;2372,3;2168;10692,4;0;;94;463,6
Outremont;25;450;1878,6;2412;10069,3;0;;29;* 121,1
Pierrefonds–Roxboro;117;2003;2890,5;7993;11534,4;0;;89;128,4
Plateau Mont-Royal;95;2282;2194,2;10908;10488,5;5;n.p.;179;172,1
Pointe-Claire;38;692;2205,2;2426;7731;< 5;n.p.;60;191,2
Rivière-des-Prairies–Pointe-aux-Trembles;157;3048;2855,5;15668;14678,2;< 5;n.p.;328;307,3
Rosemont–La Petite Patrie;187;3475;2489,4;15489;11096,1;< 5;n.p.;333;238,6
Sainte-Anne-de-Bellevue;8;105;2117,8;375;7563,5;0;;13;* 262,2
Saint-Laurent;141;2105;2130;13179;13335,3;< 5;n.p.;161;162,9
Saint-Léonard;143;2124;2712,5;12944;16530,2;5;n.p.;156;199,2
Senneville;0;22;* 2388,7;70;7600,4;0;;0;
Sud-Ouest;92;1997;2555,3;8500;10876,4;< 5;n.p.;212;271,3
Verdun;64;1512;2184,1;6616;9556,7;< 5;n.p.;203;293,2
Ville-Marie;90;2221;2490,7;10210;11450;< 5;n.p.;134;150,3
Villeray–Saint-Michel–Parc-Extension;291;3907;2716;19600;13625;< 5;n.p.;208;144,6
Westmount;18;309;1521,3;1522;7493,1;< 5;n.p.;61;300,3
Territoire à confirmer;143;1920;;5142;;< 5;;28;
Total à Montréal;3223;51006;2469,2;244899;11855,7;59;2,9;4946;239,4
