Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq,nbrDeltaPresomptif,nbrOmicronPresomptifP681R,nbrOmicronPresomptif,nbrOmicronTotalCrib,nbrOmicronSanger,nbrOmicronSeq,nbrOmicronTotalSeq,Omicron_Total
Région,RSS01,01 - Bas-Saint-Laurent,Total,9051,994,0,0,26,98,125,7933,7464,1118,469,206,1675,221,1587,1,0,4,4,0,0,0,4
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,10986,997,0,0,68,177,245,9744,8985,1242,759,212,1984,217,2001,0,1,8,9,0,0,0,9
Région,RSS03,03 - Capitale-Nationale,Total,38012,6280,5,11,512,714,1278,30490,27619,7522,2871,1151,9966,1080,10393,52,180,139,319,0,0,0,319
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,27776,1652,1,2,258,822,1081,25041,24496,2735,545,419,4286,375,3280,1,11,321,332,0,0,0,332
Région,RSS05,05 - Estrie,Total,24982,2033,0,11,481,811,1293,21646,20676,3336,970,622,3981,528,4306,1,4,27,31,0,0,0,31
Région,RSS06,06 - Montréal,Total,169128,13821,126,285,4135,6571,11224,144190,132059,24938,12131,6890,30222,7098,37069,518,2184,774,2958,26,0,26,2984
Région,RSS07,07 - Outaouais,Total,23964,3839,17,33,182,1053,1235,18840,18551,5124,289,238,4822,792,5413,0,7,24,31,2,0,2,33
Région,RSS08,08 - Abitibi-Témiscamingue,Total,3828,103,187,0,29,40,71,3469,3365,359,104,29,256,244,463,2,0,4,4,0,0,0,4
Région,RSS09,09 - Côte-Nord,Total,2366,163,0,0,11,54,65,2138,2097,228,41,22,279,33,269,0,0,6,6,0,0,0,6
Région,RSS10,10 - Nord-du-Québec,Total,413,22,1,0,5,11,17,374,355,39,19,13,50,5,58,1,1,0,1,0,0,0,1
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,2449,185,0,0,33,56,90,2175,2126,274,49,38,346,37,323,1,1,2,3,0,0,0,3
Région,RSS12,12 - Chaudière-Appalaches,Total,34002,3452,1,10,507,1547,2060,28485,27803,5517,682,874,8257,1121,6199,6,22,48,70,0,0,0,70
Région,RSS13,13 - Laval,Total,40307,3280,13,23,606,2926,3566,33459,32097,6848,1362,809,7239,965,8210,34,130,38,168,1,0,1,169
Région,RSS14,14 - Lanaudière,Total,37533,1819,38,11,368,1874,2347,33423,31607,4110,1816,734,5263,774,5926,105,113,64,177,1,0,1,178
Région,RSS15,15 - Laurentides,Total,45637,2558,33,59,439,2626,3264,39922,37156,5715,2766,1114,7484,1089,8481,199,459,171,630,1,0,1,631
Région,RSS16,16 - Montérégie,Total,78395,4291,26,155,1835,2552,4468,69536,66222,8859,3314,2485,10682,1893,12173,81,379,373,752,11,0,11,763
Région,RSS00,Inconnu,Total,2618,51,1,0,138,63,203,2365,2221,253,144,31,260,180,397,2,5,27,32,1,0,1,33
Région,RSS98,Hors-Québec,Total,2530,125,11,10,201,112,313,2071,1972,459,99,208,321,270,558,0,16,14,30,4,0,4,34
Région,RSS99,Ensemble du Québec,Total,553977,45665,460,610,9834,22107,32945,475301,446871,78676,28430,16095,97373,16922,107106,1004,3513,2044,5557,47,0,47,5604

