Regroupement,Croisement,Nom,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,NbrAutres,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq
Région,RSS01,01 - Bas-Saint-Laurent,2715,994,,,5,16,1700,1015,1637,186,1582,220,1499
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,3236,997,,,8,98,2133,1103,2014,162,1911,204,1875
Région,RSS03,03 - Capitale-Nationale,15074,6274,5,11,157,490,8137,6937,9851,817,9485,1048,10044
Région,RSS04,04 - Mauricie et Centre-du-Québec,6425,1651,1,2,65,556,4150,2275,3813,262,3585,369,2878
Région,RSS05,05 - Estrie,7605,2035,,11,101,450,5008,2597,3684,338,3422,369,3575
Région,RSS06,06 - Montréal,69692,13821,126,284,1654,4296,49511,20181,32821,4308,28551,5521,35438
Région,RSS07,07 - Outaouais,7694,3839,17,33,88,615,3102,4592,5656,166,4357,1123,5948
Région,RSS08,08 - Abitibi-Témiscamingue,868,100,193,,9,13,553,315,434,13,221,235,594
Région,RSS09,09 - Côte-Nord,295,162,,,3,8,122,173,245,14,227,35,220
Région,RSS10,10 - Nord-du-Québec,64,22,2,,1,12,27,37,62,3,57,4,58
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,539,185,,,9,39,306,233,364,17,328,36,304
Région,RSS12,12 - Chaudière-Appalaches,11663,3452,1,10,25,678,7497,4166,8088,482,7270,766,5386
Région,RSS13,13 - Laval,17464,3278,13,23,360,1747,12043,5421,8422,544,6061,872,8481
Région,RSS14,14 - Lanaudière,10469,1819,38,11,165,1146,7290,3179,5600,479,4653,687,5639
Région,RSS15,15 - Laurentides,11911,2558,33,59,192,1520,7549,4362,7112,851,6432,972,7498
Région,RSS16,16 - Montérégie,25052,4290,25,155,775,1733,18074,6978,13018,1447,9988,1972,12226
Région,RSS00,Inconnu,460,50,1,,11,44,354,106,402,16,234,85,309
Région,RSS98,Hors-Québec,767,123,11,10,118,111,394,373,381,140,304,212,499
Région,RSS99,Ensemble du Québec,191993,45650,466,609,3746,13572,127950,64043,103604,10245,88668,14730,102471

