,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4063,5,4041,22,54,0,3996,13,196934.5,2063.12,6.61,27.42,0
02,02 - Saguenay-Lac-Saint-Jean,11224,18,11004,220,271,0,10903,50,277505,4044.61,18.03,97.66,9
03,03 - Capitale-Nationale,33776,30,33422,354,1121,0,32485,170,757803,4457.10,22.36,147.93,13
04,04 - Mauricie et Centre-du-Québec,16743,34,16506,237,565,0,15922,256,523331.5,3199.31,48.82,107.96,30
05,05 - Estrie,16172,35,15663,509,357,1,15551,264,494966.5,3267.29,53.14,72.13,32
06,06 - Montréal,143502,259,140565,2937,4793,3,136326,2383,2072060.5,6925.57,114.65,231.32,219
07,07 - Outaouais,13556,17,13110,446,220,0,13148,188,402744,3365.91,46.48,54.63,32
08,08 - Abitibi-Témiscamingue,1223,0,1190,33,9,0,1210,4,147637,828.38,2.71,6.10,0
09,09 - Côte-Nord,602,2,583,19,4,0,596,2,89700.5,671.12,2.24,4.46,1
10,10 - Nord-du-Québec,135,1,133,2,0,0,134,1,13521.5,998.41,7.42,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2140,2,2120,20,47,0,2074,19,89823,2382.46,21.19,52.33,5
12,12 - Chaudière-Appalaches,20320,50,20046,274,370,0,19615,335,431109.5,4713.42,77.56,85.83,37
13,13 - Laval,35453,71,33542,1911,931,2,33885,637,444658.5,7973.08,142.64,209.37,84
14,14 - Lanaudière,26249,49,25539,710,518,0,25284,447,522367,5025.01,85.20,99.16,46
15,15 - Laurentides,23656,59,23052,604,514,0,22484,658,630238,3753.50,103.87,81.56,104
16,16 - Montérégie,55958,120,54025,1933,1568,1,53316,1074,1438226,3890.77,74.39,109.02,67
17,17 - Nunavik,50,0,48,2,0,0,50,0,14336.5,348.76,0.00,0.00,0
18,18 - Terres-Cries-de-la-Baie-James,142,0,142,0,5,0,136,1,18507,767.28,5.37,27.02,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,760,2,755,5,0,0,744,16,.,.,.,.,-1
999,Ensemble du Québec,405728,754,395489,10239,11347,7,387863,6518,8565469.5,4736.79,75.86,132.47,678

