Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;23;337;251;11433;8516,5;5;n.p.;485;361,3
Anjou;10;95;222;3782;8837,3;0;;78;182,3
Baie D'urfé;< 5;5;n.p.;103;2694,2;0;;< 5;n.p.
Beaconsfield;< 5;13;* 67,3;543;2810;0;;21;* 108,7
Côte-des-Neiges–Notre-Dame-de-Grâce;14;204;122,5;12625;7581,7;0;;369;221,6
Côte-Saint-Luc;8;63;194,2;2976;9171,6;0;;119;366,7
Dollard-des-Ormeaux;8;70;143,2;3013;6161,7;0;;125;255,6
Dorval;< 5;22;* 115,9;874;4604,8;0;;68;358,3
Hampstead;< 5;18;* 258,1;443;6353,1;0;;6;n.p.
Kirkland;< 5;16;* 79,4;823;4084,2;0;;33;* 163,8
Lachine;< 5;75;168,6;3132;7039,9;0;;170;382,1
LaSalle;6;138;179,6;6075;7904,7;0;;242;314,9
L'Île-Bizard–Sainte-Geneviève;0;16;* 86,9;1140;6191,3;0;;76;412,8
Mercier–Hochelaga-Maisonneuve;19;236;173,5;9523;7001;< 5;n.p.;450;330,8
Montréal Est;0;< 5;n.p.;299;7766,2;0;;9;* 233,8
Montréal-Nord;31;268;318,2;9837;11678,2;0;;336;398,9
Montréal-Ouest;< 5;10;* 198;213;4217,8;0;;< 5;n.p.
Mont-Royal;< 5;23;* 113,4;1185;5844,3;0;;93;458,7
Outremont;< 5;17;* 71;1322;5518,9;0;;29;* 121,1
Pierrefonds–Roxboro;7;103;148,6;4573;6599,1;0;;84;121,2
Plateau Mont-Royal;9;82;78,8;5150;4951,9;0;;172;165,4
Pointe-Claire;< 5;25;* 79,7;1151;3667,9;0;;54;172,1
Rivière-des-Prairies–Pointe-aux-Trembles;17;274;256,7;9796;9177,2;< 5;n.p.;317;297
Rosemont–La Petite Patrie;17;207;148,3;7665;5491,1;0;;324;232,1
Sainte-Anne-de-Bellevue;0;14;* 282,4;176;3549,8;0;;12;* 242
Saint-Laurent;13;226;228,7;8967;9073,3;< 5;n.p.;157;158,9
Saint-Léonard;22;236;301,4;8463;10807,7;< 5;n.p.;146;186,5
Senneville;0;< 5;n.p.;29;* 3148,8;0;;0;
Sud-Ouest;6;123;157,4;4407;5639,1;0;;206;263,6
Verdun;< 5;50;72,2;3374;4873,7;0;;198;286
Ville-Marie;< 5;117;131,2;5402;6058,1;0;;125;140,2
Villeray–Saint-Michel–Parc-Extension;18;277;192,6;12081;8398,2;0;;200;139
Westmount;5;18;* 88,6;802;3948,4;0;;58;285,5
Territoire à confirmer;-4;67;;2125;;0;;25;
Total à Montréal;259;3450;167;143502;6947;14;*0,7;4793;232
