group,1d,2d,3d,pop 2021
0-4,28574,10198,29,428991
5-11,440301,336992,27234,650347
12-17,532655,510065,118499,529446
18-29,1117595,1058657,451064,1216440
30-39,1025408,985270,518956,1118629
40-49,1030241,1005861,656224,1115327
50-59,1082478,1057003,805098,1155183
60-69,1118497,1106524,1002724,1168854
70-79,755710,754261,726160,783129
80 plus,401305,401737,391817,425520
Total 5+,7504190,7216370,4697776,8162875
Total,7532764,7226568,4697805,8591866
