group,1d,2d,pop 2021
0-11,510,109,1079338
12-17,491071,439106,529446
18-29,1022550,921018,1216440
30-39,947933,873860,1118629
40-49,981480,930871,1115327
50-59,1048104,1003715,1155183
60-69,1095729,1074184,1168854
70-79,744671,737717,783129
80 plus,396292,387060,425520
Total 12+,6727830,6367531,7512528
Total,6728340,6367640,8591866
