Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,nbrDeltaHospit,NbrPresomptifDelta,nbrDeltaPresomptif,nbrCriblageDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq,nbrOmicronPresomptifP681R,nbrOmicronPresomptif,nbrCriblageBA1,nbrCriblageBA2,nbrCriblageBA1LSPQ,nbrCriblageBA2LSPQ,nbrOmicronTotalCrib,nbrBA2SANGER,nbrOmicronSanger,nbrSeqBA2,nbrOmicronSeq,nbrOmicronTotalSeq,Omicron_Total
Région,RSS01,01 - Bas-Saint-Laurent,Total,18633,994,0,0,81,3,97,1,0,182,17182,16711,1451,471,207,1674,539,1922,0,18,3,0,0,0,21,0,0,27,254,254,275
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,21425,997,0,0,111,10,177,0,0,298,19864,19099,1561,765,212,1984,529,2326,0,27,9,0,0,0,36,0,0,19,230,230,266
Région,RSS03,03 - Capitale-Nationale,Total,68010,6282,5,11,628,0,711,52,0,1391,57981,55104,10029,2877,1158,9965,1838,12906,14,313,1279,180,16,73,1875,0,0,60,465,465,2340
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,47177,1652,1,2,333,96,822,1,0,1252,43457,42897,3720,560,419,4285,992,4280,7,417,4,0,0,0,428,0,0,127,385,385,813
Région,RSS05,05 - Estrie,Total,40156,2033,0,11,703,14,810,1,0,1528,36184,35195,3972,989,623,3981,1339,4961,4,32,3,1,1,1,42,0,0,47,358,358,400
Région,RSS06,06 - Montréal,Total,225865,13818,126,285,4442,54,6569,516,3,11584,193390,178694,32475,14696,7182,30467,10188,47171,2209,885,1256,702,142,275,5469,0,0,302,1193,1193,6662
Région,RSS07,07 - Outaouais,Total,32698,3838,17,33,221,2,1053,0,0,1276,27271,26290,5427,981,238,4821,1135,6408,7,36,3,1,0,0,47,0,0,61,216,216,263
Région,RSS08,08 - Abitibi-Témiscamingue,Total,9366,103,187,0,38,1,40,2,0,81,8821,8520,545,301,45,258,422,846,0,5,1,1,0,1,8,0,0,15,166,166,174
Région,RSS09,09 - Côte-Nord,Total,7639,163,0,0,14,0,54,0,0,68,7313,7272,326,41,22,279,116,367,0,6,8,2,0,0,16,0,0,8,79,79,95
Région,RSS10,10 - Nord-du-Québec,Total,1119,22,1,0,5,0,11,1,0,17,1062,1042,57,20,13,50,20,77,1,0,3,0,0,0,4,0,0,0,13,13,17
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,6939,185,0,0,34,0,56,1,0,91,6500,6451,439,49,38,346,204,488,0,3,3,0,0,0,6,0,0,18,157,157,163
Région,RSS12,12 - Chaudière-Appalaches,Total,53059,3450,1,10,611,13,1541,6,0,2171,46955,45708,6104,1247,881,8248,1617,7351,1,88,96,9,1,4,199,0,0,49,273,273,472
Région,RSS13,13 - Laval,Total,53060,3270,13,23,638,3,2926,34,0,3601,45190,42170,7870,3020,813,7240,1589,10890,129,40,293,122,46,42,672,0,0,72,291,291,963
Région,RSS14,14 - Lanaudière,Total,53366,1819,38,11,530,13,1868,104,0,2515,47859,45398,5507,2461,746,5288,1131,7968,114,112,407,64,54,11,762,0,0,66,362,362,1124
Région,RSS15,15 - Laurentides,Total,66031,2559,33,59,552,7,2626,199,0,3384,57906,54569,8125,3337,1161,7583,1367,11462,490,225,627,101,40,24,1507,0,0,110,583,583,2090
Région,RSS16,16 - Montérégie,Total,114945,4291,26,155,1991,46,2552,80,0,4669,103744,99374,11201,4370,2496,10705,3877,15571,385,524,67,24,37,23,1060,0,0,282,1000,1000,2060
Région,RSS00,Inconnu,Total,5723,52,1,0,259,1,64,2,0,326,5228,5021,495,207,42,271,403,702,9,15,9,1,1,0,35,0,0,8,81,81,116
Région,RSS98,Hors-Québec,Total,5782,125,11,10,205,2,112,0,0,319,5126,5004,656,122,213,321,460,778,16,16,4,0,0,0,36,0,0,54,155,155,191
Région,RSS99,Ensemble du Québec,Total,830993,45653,460,610,11396,265,22089,1000,3,34753,731033,694519,99960,36514,16509,97766,27766,136474,3386,2762,4075,1208,338,454,12223,0,0,1325,6261,6261,18484

