,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1487,1,1470,17,30,0,1441,16,196934.5,755.07,8.13,15.23
02,02 - Saguenay–Lac-Saint-Jean,8776,4,8588,188,263,0,8494,19,277505,3162.47,6.85,94.77
03,03 - Capitale-Nationale,21866,47,21534,332,960,5,20454,452,757803,2885.45,59.46,126.68
04,04 - Mauricie et Centre-du-Québec,12509,29,12279,230,484,2,11618,407,523331.5,2390.26,77.62,92.48
05,05 - Estrie,11043,65,10621,422,291,3,10344,408,494966.5,2231.06,82.13,58.79
06,06 - Montréal,99771,503,96921,2850,4424,18,89937,5410,2072060.5,4815.06,260.29,213.51
07,07 - Outaouais,5989,21,5595,394,156,0,5722,111,402744,1487.05,27.44,38.73
08,08 - Abitibi-Témiscamingue,737,3,704,33,7,0,708,22,147637,499.20,14.90,4.74
09,09 - Côte-Nord,349,0,334,15,3,0,338,8,89700.5,389.07,8.95,3.34
10,10 - Nord-du-Québec,86,0,84,2,0,0,86,0,13521.5,636.02,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1693,2,1673,20,45,0,1643,5,89823,1884.82,5.58,50.10
12,12 - Chaudière-Appalaches,11416,36,11155,261,277,0,10779,360,431109.5,2648.05,83.35,64.25
13,13 - Laval,23236,118,21773,1463,851,0,21416,969,444658.5,5225.58,216.99,191.38
14,14 - Lanaudière,19294,63,18582,712,478,0,18201,615,522367,3693.57,117.22,91.51
15,15 - Laurentides,15280,59,14683,597,457,3,14326,497,630238,2424.48,78.45,72.51
16,16 - Montérégie,39913,170,38279,1634,1421,6,36757,1735,1438226,2775.15,120.18,98.80
17,17 - Nunavik,41,-2,39,2,0,0,39,2,14336.5,285.98,13.88,0.00
18,18 - Terres-Cries-de-la-Baie-James,116,2,116,0,2,0,109,5,18507,626.79,26.84,10.81
98,Inconnu,4,0,4,0,0,0,4,0,           .,         .  ,         .  ,         .  
99,Hors Québec,241,0,237,4,0,0,235,6,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,273847,1121,264671,9176,10149,37,252651,11047,8565469.5,3197.10,128.58,118.49
