group,0d,1d,2d,pop 2021
0-4,88549,104,12,109960
5-11,147019,21,2,149671
12-17,41190,84631,56213,115666
18-29,58767,261627,192939,367326
30-39,57113,246240,198003,330128
40-49,36940,224011,188031,281268
50-59,22089,214497,187645,254246
60-69,6216,199748,186112,219244
70-79,2869,139622,132519,148691
80 plus,3476,96270,89045,102264
Total 12+,228660,1466646,1230507,1818833
Total,464228,1466771,1230521,2078464
